"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","PAS21","GBS21",-1.24499354678013e-14,1.63508654526601,52,-7.61423638635338e-15,0.999999999999994,"NS"
"2","PAS21","GBS21",-12.0118868597398,1.63508654526601,52,-7.34633092940388,1.38806017399269e-09,"*"
"4","PAS21","GBS21",-25.0675246058518,1.63508654526601,52,-15.3310078163316,6.20984202447055e-21,"*"
"6","PAS21","GBS21",-32.2879838508189,1.63508654526601,52,-19.7469570918437,8.02691488074346e-26,"*"
"8","PAS21","GBS21",-24.082131968466,1.63508654526601,52,-14.7283530882141,3.40647966260079e-20,"*"
"12","PAS21","GBS21",-12.296663638127,1.63508654526601,52,-7.52049710991075,7.33183230519723e-10,"*"
"16","PAS21","GBS21",-15.4751195967985,1.63508654526601,52,-9.4644039739688,6.71640606141597e-13,"*"
"20","PAS21","GBS21",-0.682158663524119,1.63508654526601,52,-0.417200340556371,0.678249332573597,"NS"
"24","PAS21","GBS21",-1.07045128814382,1.63508654526601,52,-0.654675614109265,0.515562097315819,"NS"
"0","PAS21","PVS21",-1.94153945248511e-14,1.63508654526601,52,-1.18742304993357e-14,0.999999999999991,"NS"
"2","PAS21","PVS21",12.7510428757516,1.63508654526601,52,7.7983901908245,2.65433322927593e-10,"*"
"4","PAS21","PVS21",21.5105996585229,1.63508654526601,52,13.1556337007368,3.56703420471335e-18,"*"
"6","PAS21","PVS21",15.8243306572715,1.63508654526601,52,9.67797741537715,3.17956877864619e-13,"*"
"8","PAS21","PVS21",11.3123091847647,1.63508654526601,52,6.91847732312194,6.67575450475121e-09,"*"
"12","PAS21","PVS21",6.73847156357344,1.63508654526601,52,4.12117119004069,0.000135799374538329,"*"
"16","PAS21","PVS21",5.61293480929016,1.63508654526601,52,3.43280594262184,0.00117982171564248,"*"
"20","PAS21","PVS21",4.67271077435296,1.63508654526601,52,2.8577758087984,0.00612220891565351,"*"
"24","PAS21","PVS21",3.38094921586544,1.63508654526601,52,2.06774939568437,0.043655591675807,"*"
