"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","PPS21","CMS21",-4.03017883469207e-15,0.681879812868022,120,-5.91039470393019e-15,0.999999999999995,"NS"
"1","PPS21","CMS21",-9.42953011848635,0.681879812868022,120,-13.8287274979226,1.35106717770132e-26,"*"
"2","PPS21","CMS21",-25.9432355624289,0.681879812868022,120,-38.0466397051854,8.24305012288334e-69,"*"
"3","PPS21","CMS21",-23.2186756080323,0.681879812868022,120,-34.0509796152687,1.62759622291365e-63,"*"
"4","PPS21","CMS21",-9.05521177354739,0.681879812868022,120,-13.2797768795364,2.59495302585337e-25,"*"
"6","PPS21","CMS21",7.60498156013081,0.681879812868023,120,11.1529648137607,2.95624490340417e-20,"*"
"8","PPS21","CMS21",8.45186252865637,0.681879812868022,120,12.3949446356351,3.19636682281303e-23,"*"
"12","PPS21","CMS21",9.0286942439503,0.681879812868023,120,13.240888018044,3.20240075067406e-25,"*"
"16","PPS21","CMS21",4.10774901943934,0.681879812868022,120,6.02415402527014,1.91589415697059e-08,"*"
"0","PPS21","CPS21",-1.29788512764296e-15,0.681879812868022,120,-1.90339280200126e-15,0.999999999999998,"NS"
"1","PPS21","CPS21",36.3498085601952,0.681879812868023,120,53.3082339060692,2.12858009177447e-85,"*"
"2","PPS21","CPS21",28.8747497343,0.681879812868022,120,42.3458052128737,5.2598304240084e-74,"*"
"3","PPS21","CPS21",11.0879291677812,0.681879812868022,120,16.2608262607816,4.0178336889927e-32,"*"
"4","PPS21","CPS21",0.244372701412343,0.681879812868023,120,0.358380900564424,0.72068797085905,"NS"
"6","PPS21","CPS21",-2.83777324296781,0.681879812868022,120,-4.16169123856591,5.97086093744906e-05,"*"
"8","PPS21","CPS21",-2.86563574353167,0.681879812868022,120,-4.20255254584919,5.10435290291178e-05,"*"
"12","PPS21","CPS21",-3.28493727171647,0.681879812868022,120,-4.81747253654549,4.29182813977999e-06,"*"
"16","PPS21","CPS21",-7.02016593087847,0.681879812868022,120,-10.2953127492531,3.36536902057715e-18,"*"
"0","PPS21","CVS21",-9.4333135024932e-15,0.681879812868022,120,-1.3834275959595e-14,0.999999999999989,"NS"
"1","PPS21","CVS21",38.8338344554742,0.681879812868023,120,56.9511425952574,1.03065345344639e-88,"*"
"2","PPS21","CVS21",34.1953139987045,0.681879812868022,120,50.1485941560246,2.38016061485381e-82,"*"
"3","PPS21","CVS21",17.6383974315212,0.681879812868022,120,25.8673113628825,6.59162718224978e-51,"*"
"4","PPS21","CVS21",8.3468493068652,0.681879812868022,120,12.2409391645691,7.42702957854384e-23,"*"
"6","PPS21","CVS21",5.01936387198127,0.681879812868023,120,7.36106829570091,2.49821919948333e-11,"*"
