ID,TEMPOS,TRATAMENTO EM EVIDENCIA,TRATAMENTO COMPARADO,VALUE,STD.ERROR,DF,T.VALUE,P.VALUE,SIGN.
1,0,CVS21,CMS21,-2.79003249554872e-14,0.681879812868064,120,-4.09167780435313e-14,0.999999999999967,NS
2,1,CVS21,CMS21,-48.2633645739605,0.681879812868064,120,-70.7798700931757,1.02659462860032e-99,*
3,2,CVS21,CMS21,-60.1385495611333,0.681879812868064,120,-88.1952338612046,5.79754202236274e-111,*
4,3,CVS21,CMS21,-40.8570730395534,0.681879812868064,120,-59.9182909781476,2.85423288564617e-91,*
5,4,CVS21,CMS21,-17.4020610804126,0.681879812868064,120,-25.5207160441039,2.59867604519362e-50,*
6,6,CVS21,CMS21,2.58561768814955,0.681879812868064,120,3.79189651805962,0.000235495049339248,*
7,8,CVS21,CMS21,3.78349236350131,0.681879812868064,120,5.54862058107793,1.74793174934808e-07,*
8,12,CVS21,CMS21,2.82604567862325,0.681879812868064,120,4.14449236550438,6.37629624862521e-05,*
9,16,CVS21,CMS21,-2.06348877698823,0.681879812868064,120,-3.02617666346355,0.00303108757500178,*
10,0,CVS21,CPS21,-1.3080426540286e-14,0.681879812868064,120,-1.918289160852e-14,0.999999999999985,NS
11,1,CVS21,CPS21,-2.48402589527898,0.681879812868064,120,-3.64290868918803,0.000399383275293397,*
12,2,CVS21,CPS21,-5.32056426440442,0.681879812868064,120,-7.80278894315044,2.50076002631226e-12,*
13,3,CVS21,CPS21,-6.55046826373998,0.681879812868064,120,-9.60648510210028,1.49140799038357e-16,*
14,4,CVS21,CPS21,-8.10247660545284,0.681879812868064,120,-11.8825582640039,5.30891889203191e-22,*
15,6,CVS21,CPS21,-7.85713711494907,0.681879812868064,120,-11.5227595342661,3.84614396859488e-21,*
16,8,CVS21,CPS21,-7.53400590868675,0.681879812868064,120,-11.0488766004054,5.25123912924968e-20,*
17,12,CVS21,CPS21,-9.48758583704353,0.681879812868064,120,-13.913868189084,8.56384225677519e-27,*
18,16,CVS21,CPS21,-13.1914037273061,0.681879812868064,120,-19.3456434379858,1.08285380073576e-38,*
19,0,CVS21,MBS21,6.22509273837066e-14,0.681879812868064,120,9.12931079773019e-14,0.999999999999927,NS
20,1,CVS21,MBS21,-48.0108375723294,0.681879812868064,120,-70.409530633251,1.89854414388271e-99,*
21,2,CVS21,MBS21,-58.2418333455981,0.681879812868064,120,-85.4136348466254,2.55514663558042e-109,*
22,3,CVS21,MBS21,-41.7581040172383,0.681879812868064,120,-61.2396836351541,2.26138676668712e-92,*
23,4,CVS21,MBS21,-25.6129104696987,0.681879812868064,120,-37.5622066914812,3.40881269255977e-68,*
24,6,CVS21,MBS21,-13.9568158808826,0.681879812868064,120,-20.4681464643728,5.93378116481112e-41,*
25,8,CVS21,MBS21,-12.7210155313214,0.681879812868064,120,-18.6558031067313,2.87412418237307e-37,*
26,12,CVS21,MBS21,-13.5122681515492,0.681879812868064,120,-19.8162020587104,1.19746952295535e-39,*
27,16,CVS21,MBS21,-6.71360953147919,0.681879812868063,120,-9.84573733491389,4.00621569346253e-17,*
28,0,CVS21,MRS21,5.65261004857497e-15,0.681879812868064,120,8.28974540953111e-15,0.999999999999993,NS
29,1,CVS21,MRS21,-39.3825633728383,0.681879812868064,120,-57.7558722660974,2.02953435661937e-89,*
30,2,CVS21,MRS21,-29.687771984012,0.681879812868064,120,-43.5381300689073,2.299143962096e-75,*
31,3,CVS21,MRS21,-15.8302461831957,0.681879812868064,120,-23.2155958930826,3.33798382045137e-46,*
32,4,CVS21,MRS21,-9.87955220689319,0.681879812868064,120,-14.4887002378596,4.01580834331376e-28,*
33,6,CVS21,MRS21,-1.07492275100201,0.681879812868064,120,-1.57641087287915,0.117563829288945,*
34,8,CVS21,MRS21,0.525416248495991,0.681879812868064,120,0.770540846906774,0.442493534678684,*
35,12,CVS21,MRS21,-0.106827741815472,0.681879812868064,120,-0.156666526563006,0.875770945014771,NS
36,16,CVS21,MRS21,3.51323051573818,0.681879812868064,120,5.15227236448185,1.02340376931418e-06,*
37,0,CVS21,PPS21,-5.04170667122952e-15,0.681879812868064,120,-7.39383477276373e-15,0.999999999999994,NS
38,1,CVS21,PPS21,-38.8338344554742,0.681879812868064,120,-56.9511425952539,1.03065345345369e-88,*
39,2,CVS21,PPS21,-34.1953139987044,0.681879812868064,120,-50.1485941560215,2.38016061487073e-82,*
40,3,CVS21,PPS21,-17.6383974315212,0.681879812868064,120,-25.8673113628809,6.59162718229096e-51,*
41,4,CVS21,PPS21,-8.34684930686519,0.681879812868064,120,-12.2409391645683,7.42702957857486e-23,*
42,6,CVS21,PPS21,-5.01936387198126,0.681879812868064,120,-7.36106829570045,2.49821919948931e-11,*
43,8,CVS21,PPS21,-4.66837016515506,0.681879812868064,120,-6.84632405455642,3.43823723775547e-10,*
44,12,CVS21,PPS21,-6.20264856532705,0.681879812868064,120,-9.09639565253883,2.4264463468291e-15,*
45,16,CVS21,PPS21,-6.17123779642757,0.681879812868064,120,-9.05033068873332,3.11808629567646e-15,*
46,0,CVS21,QTS21,7.04637241343959e-15,0.681879812868064,120,1.03337454496589e-14,0.999999999999992,NS
47,1,CVS21,QTS21,6.49164146895086,0.681879812868064,120,9.52021360134754,2.39374214791037e-16,*
48,2,CVS21,QTS21,-7.02895262525299,0.681879812868064,120,-10.308198736209,3.13443688219475e-18,*
49,3,CVS21,QTS21,-11.770879750951,0.681879812868064,120,-17.2623965819451,2.59659923170653e-34,*
50,4,CVS21,QTS21,-12.3104810109608,0.681879812868064,120,-18.0537402319941,5.28015171305894e-36,*
51,6,CVS21,QTS21,-11.8985850715911,0.681879812868064,120,-17.449680789851,1.02551759122829e-34,*
52,8,CVS21,QTS21,-13.0068811721567,0.681879812868064,120,-19.0750348180104,3.89069385662692e-38,*
53,12,CVS21,QTS21,-14.0629311608798,0.681879812868064,120,-20.6237681413819,2.91913427332104e-41,*
54,16,CVS21,QTS21,-14.1081991399726,0.681879812868063,120,-20.6901551765141,2.15888347528176e-41,*
55,0,PPS21,CMS21,-4.03017883469207e-15,0.681879812868022,120,-5.91039470393019e-15,0.999999999999995,NS
56,1,PPS21,CMS21,-9.42953011848635,0.681879812868022,120,-13.8287274979226,1.35106717770132e-26,*
57,2,PPS21,CMS21,-25.9432355624289,0.681879812868022,120,-38.0466397051854,8.24305012288334e-69,*
58,3,PPS21,CMS21,-23.2186756080323,0.681879812868022,120,-34.0509796152687,1.62759622291365e-63,*
59,4,PPS21,CMS21,-9.05521177354739,0.681879812868022,120,-13.2797768795364,2.59495302585337e-25,*
60,6,PPS21,CMS21,7.60498156013081,0.681879812868023,120,11.1529648137607,2.95624490340417e-20,*
61,8,PPS21,CMS21,8.45186252865637,0.681879812868022,120,12.3949446356351,3.19636682281303e-23,*
62,12,PPS21,CMS21,9.0286942439503,0.681879812868023,120,13.240888018044,3.20240075067406e-25,*
63,16,PPS21,CMS21,4.10774901943934,0.681879812868022,120,6.02415402527014,1.91589415697059e-08,*
64,0,PPS21,CPS21,-1.29788512764296e-15,0.681879812868022,120,-1.90339280200126e-15,0.999999999999998,NS
65,1,PPS21,CPS21,36.3498085601952,0.681879812868023,120,53.3082339060692,2.12858009177447e-85,*
66,2,PPS21,CPS21,28.8747497343,0.681879812868022,120,42.3458052128737,5.2598304240084e-74,*
67,3,PPS21,CPS21,11.0879291677812,0.681879812868022,120,16.2608262607816,4.0178336889927e-32,*
68,4,PPS21,CPS21,0.244372701412343,0.681879812868023,120,0.358380900564424,0.72068797085905,NS
69,6,PPS21,CPS21,-2.83777324296781,0.681879812868022,120,-4.16169123856591,5.97086093744906e-05,*
70,8,PPS21,CPS21,-2.86563574353167,0.681879812868022,120,-4.20255254584919,5.10435290291178e-05,*
71,12,PPS21,CPS21,-3.28493727171647,0.681879812868022,120,-4.81747253654549,4.29182813977999e-06,*
72,16,PPS21,CPS21,-7.02016593087847,0.681879812868022,120,-10.2953127492531,3.36536902057715e-18,*
