"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","CMS21","CPS21",-1.43569455017307e-15,0.681879812868198,120,-2.10549501991281e-15,0.999999999999998,"NS"
"1","CMS21","CPS21",45.7793386786815,0.681879812868198,120,67.1369614039743,4.98732514711353e-97,"*"
"2","CMS21","CPS21",54.8179852967289,0.681879812868199,120,80.3924449180382,3.24364902293912e-106,"*"
"3","CMS21","CPS21",34.3066047758135,0.681879812868199,120,50.3118058760373,1.6401906122633e-82,"*"
"4","CMS21","CPS21",9.29958447495975,0.681879812868199,120,13.6381577800973,3.75773664022451e-26,"*"
"6","CMS21","CPS21",-10.4427548030986,0.681879812868199,120,-15.3146560523227,5.25318727056543e-30,"*"
"8","CMS21","CPS21",-11.3174982721881,0.681879812868198,120,-16.5974971814801,7.27833365933706e-33,"*"
"12","CMS21","CPS21",-12.3136315156668,0.681879812868199,120,-18.0583605545849,5.16261086511854e-36,"*"
"16","CMS21","CPS21",-11.1279149503178,0.681879812868199,120,-16.319466774519,2.98079199310802e-32,"*"
"0","CMS21","CVS21",5.49563311304906e-15,0.681879812868199,120,8.05953338013149e-15,0.999999999999994,"NS"
"1","CMS21","CVS21",48.2633645739605,0.681879812868199,120,70.7798700931617,1.02659462862422e-99,"*"
"2","CMS21","CVS21",60.1385495611334,0.681879812868199,120,88.1952338611872,5.79754202249771e-111,"*"
"3","CMS21","CVS21",40.8570730395535,0.681879812868199,120,59.9182909781357,2.85423288571189e-91,"*"
"4","CMS21","CVS21",17.4020610804126,0.681879812868198,120,25.5207160440989,2.59867604524547e-50,"*"
"6","CMS21","CVS21",-2.58561768814955,0.681879812868199,120,-3.79189651805886,0.00023549504933989,"*"
"8","CMS21","CVS21",-3.78349236350131,0.681879812868199,120,-5.54862058107683,1.7479317493568e-07,"*"
"12","CMS21","CVS21",-2.82604567862325,0.681879812868199,120,-4.14449236550357,6.37629624864501e-05,"*"
"16","CMS21","CVS21",2.06348877698822,0.681879812868199,120,3.02617666346295,0.0030310875750074,"*"
"0","CMS21","MBS21",-6.13925757301953e-14,0.681879812868198,120,-9.00343060046888e-14,0.999999999999928,"NS"
"1","CMS21","MBS21",0.252527001631225,0.681879812868199,120,0.370339459924789,0.711782443767654,"NS"
"2","CMS21","MBS21",1.89671621553523,0.681879812868199,120,2.78159901457861,0.00628378161722589,"*"
"3","CMS21","MBS21",-0.901030977684851,0.681879812868199,120,-1.32139265700627,0.188884360883523,"*"
"4","CMS21","MBS21",-8.21084938928613,0.681879812868199,120,-12.0414906473749,2.21745670218679e-22,"*"
"6","CMS21","MBS21",-16.5424335690321,0.681879812868198,120,-24.2600429824275,4.26257059694015e-48,"*"
"8","CMS21","MBS21",-16.5045078948227,0.681879812868199,120,-24.2044236878044,5.35992273854805e-48,"*"
"12","CMS21","MBS21",-16.3383138301724,0.681879812868199,120,-23.96069442421,1.46863398214411e-47,"*"
"16","CMS21","MBS21",-4.65012075449102,0.681879812868199,120,-6.81956067144907,3.9325143106399e-10,"*"
"0","CMS21","MRS21",1.15158127277665e-14,0.681879812868199,120,1.68883320937856e-14,0.999999999999987,"NS"
"1","CMS21","MRS21",8.88080120112219,0.681879812868199,120,13.0239978270757,1.03726495730989e-24,"*"
"2","CMS21","MRS21",30.4507775771213,0.681879812868198,120,44.6571037922884,1.30415190997591e-76,"*"
"3","CMS21","MRS21",25.0268268563578,0.681879812868199,120,36.7026950850578,4.39709836706979e-67,"*"
"4","CMS21","MRS21",7.52250887351942,0.681879812868198,120,11.0320158062422,5.76350335500289e-20,"*"
"6","CMS21","MRS21",-3.66054043915158,0.681879812868199,120,-5.36830739093772,3.94101997682567e-07,"*"
"8","CMS21","MRS21",-3.25807611500533,0.681879812868199,120,-4.77807973417023,5.0611465670816e-06,"*"
"12","CMS21","MRS21",-2.93287342043872,0.681879812868198,120,-4.30115889206654,3.48199429528887e-05,"*"
"16","CMS21","MRS21",5.5767192927264,0.681879812868198,120,8.17844902794378,3.42387246862316e-13,"*"
"0","CMS21","PPS21",5.76320773619057e-15,0.681879812868198,120,8.45194069017636e-15,0.999999999999993,"NS"
"1","CMS21","PPS21",9.42953011848633,0.681879812868199,120,13.828727497919,1.35106717772742e-26,"*"
"2","CMS21","PPS21",25.9432355624289,0.681879812868199,120,38.0466397051756,8.24305012311989e-69,"*"
"3","CMS21","PPS21",23.2186756080323,0.681879812868199,120,34.0509796152599,1.62759622295953e-63,"*"
"4","CMS21","PPS21",9.0552117735474,0.681879812868199,120,13.279776879533,2.59495302590148e-25,"*"
"6","CMS21","PPS21",-7.60498156013081,0.681879812868199,120,-11.1529648137579,2.95624490345108e-20,"*"
"8","CMS21","PPS21",-8.45186252865638,0.681879812868198,120,-12.3949446356319,3.19636682286875e-23,"*"
"12","CMS21","PPS21",-9.0286942439503,0.681879812868198,120,-13.2408880180406,3.20240075073332e-25,"*"
"16","CMS21","PPS21",-4.10774901943933,0.681879812868199,120,-6.02415402526856,1.91589415698487e-08,"*"
"0","CMS21","QTS21",1.27432286795018e-15,0.681879812868199,120,1.86883794460783e-15,0.999999999999998,"NS"
"1","CMS21","QTS21",54.7550060429113,0.681879812868199,120,80.3000836945073,3.71413913673202e-106,"*"
"2","CMS21","QTS21",53.1095969358803,0.681879812868199,120,77.8870351249802,1.34978253443979e-104,"*"
"3","CMS21","QTS21",29.0861932886024,0.681879812868199,120,42.655894396194,2.31327007214834e-74,"*"
"4","CMS21","QTS21",5.09158006945183,0.681879812868199,120,7.46697581210838,1.44445855585305e-11,"*"
"6","CMS21","QTS21",-14.4842027597406,0.681879812868198,120,-21.2415773079065,1.7992218367246e-42,"*"
"8","CMS21","QTS21",-16.790373535658,0.681879812868199,120,-24.6236553990834,9.61595110810974e-49,"*"
"12","CMS21","QTS21",-16.888976839503,0.681879812868198,120,-24.7682605068814,5.3406661351208e-49,"*"
"16","CMS21","QTS21",-12.0447103629844,0.681879812868199,120,-17.663978513047,3.5614273261077e-35,"*"
