"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","GBEV","EXEV",5.30357161807836e-15,2.12985314200935,103,2.49011141353853e-15,0.999999999999998,"NS"
"2","GBEV","EXEV",-0.681497466498027,2.12985314200934,103,-0.31997392358005,0.749636255847464,"NS"
"4","GBEV","EXEV",-4.93188350929885,2.12985314200935,103,-2.31559792176376,0.0225624335021387,"*"
"6","GBEV","EXEV",-0.436321884701817,2.12985314200934,103,-0.204860079831693,0.838085733968485,"NS"
"8","GBEV","EXEV",4.3690055467727,2.12985314200935,103,2.05131774609159,0.0427738527951736,"*"
"12","GBEV","EXEV",2.0481301645705,2.12985314200934,103,0.961629759429448,0.33848772453962,"*"
"16","GBEV","EXEV",7.84950736392365,2.12985314200934,103,3.68546882838986,0.000366116707608525,"*"
"20","GBEV","EXEV",-1.92859156115393,2.12985314200935,103,-0.90550447968185,0.36731147842208,"*"
"24","GBEV","EXEV",-0.31712563038533,2.12985314200934,103,-0.148895538443626,0.88192719489721,"NS"
"0","GBEV","GVEV",1.45913328304803e-15,2.12985314200935,103,6.85086334953337e-16,0.999999999999999,"NS"
"2","GBEV","GVEV",-2.38651671859601,2.12985314200934,103,-1.12050764042094,0.265103346170886,"*"
"4","GBEV","GVEV",-13.2349993586609,2.12985314200935,103,-6.2140431645793,1.11000258764629e-08,"*"
"6","GBEV","GVEV",-21.9097943307982,2.12985314200935,103,-10.2869976800974,1.70111830936071e-17,"*"
"8","GBEV","GVEV",-31.2305392978099,2.12985314200935,103,-14.663236014642,5.7927002039446e-27,"*"
"12","GBEV","GVEV",-17.5437573112427,2.12985314200935,103,-8.23707370485252,5.89462726908139e-13,"*"
"16","GBEV","GVEV",-3.78985173631124,2.12985314200935,103,-1.77939580037702,0.078124402880143,"*"
"20","GBEV","GVEV",-7.34790800006584,2.12985314200934,103,-3.44995993157241,0.000813898313790646,"*"
"24","GBEV","GVEV",-3.11530898339847,2.12985314200934,103,-1.46268722568328,0.146597719948261,"*"
"0","GBEV","PAEV",7.80001124907605e-14,2.12985314200935,103,3.6622296135016e-14,0.999999999999971,"NS"
"2","GBEV","PAEV",16.3023355043657,2.12985314200934,103,7.6542063782791,1.08637237151214e-11,"*"
"4","GBEV","PAEV",25.3669908774315,2.12985314200934,103,11.9102065664019,4.39068500556115e-21,"*"
"6","GBEV","PAEV",27.0093335017036,2.12985314200934,103,12.6813126074141,9.19343604634125e-23,"*"
"8","GBEV","PAEV",26.0089324020758,2.12985314200934,103,12.2116083447606,9.63230575817403e-22,"*"
"12","GBEV","PAEV",13.9123907022201,2.12985314200935,103,6.53208919798802,2.50873542763981e-09,"*"
"16","GBEV","PAEV",16.66240682465,2.12985314200934,103,7.82326560268392,4.68801187719682e-12,"*"
"20","GBEV","PAEV",1.04912202627556,2.12985314200934,103,0.492579514325481,0.623358112800018,"NS"
"24","GBEV","PAEV",6.34714524508454,2.12985314200935,103,2.98008586596563,0.00359515724597846,"*"
"0","GBEV","PQEV",4.22636155672796e-15,2.12985314200934,103,1.98434411902256e-15,0.999999999999998,"NS"
"2","GBEV","PQEV",56.5568789755274,2.12985314200934,103,26.5543561947987,7.0664090438711e-48,"*"
"4","GBEV","PQEV",58.1757994270611,2.12985314200934,103,27.3144651523611,5.52386669651645e-49,"*"
"6","GBEV","PQEV",52.0890164982118,2.12985314200934,103,24.4566235440393,1.07365575509366e-44,"*"
"8","GBEV","PQEV",29.3631349751283,2.12985314200935,103,13.7864599187466,3.9686655117457e-25,"*"
"12","GBEV","PQEV",14.7935313149799,2.12985314200934,103,6.9457987610467,3.48200731794797e-10,"*"
"16","GBEV","PQEV",15.1175829922041,2.12985314200934,103,7.09794618888226,1.66739483527333e-10,"*"
"20","GBEV","PQEV",3.71947218058624,2.12985314200934,103,1.74635147711509,0.0837312075870327,"*"
"24","GBEV","PQEV",0.341242362261822,2.12985314200935,103,0.160218728479977,0.873022572050359,"NS"
"0","GBEV","PVEV",3.80496116010193e-15,2.12985314200935,103,1.78648991569074e-15,0.999999999999999,"NS"
"2","GBEV","PVEV",19.0725693308308,2.12985314200934,103,8.95487531728941,1.55023589217651e-14,"*"
"4","GBEV","PVEV",23.0386287480378,2.12985314200935,103,10.8170034325948,1.13133211533375e-18,"*"
"6","GBEV","PVEV",14.6244012594259,2.12985314200935,103,6.86638950403355,5.103228914905e-10,"*"
"8","GBEV","PVEV",3.01419470164418,2.12985314200935,103,1.41521245863953,0.160022600259192,"*"
"12","GBEV","PVEV",-15.8164248412305,2.12985314200934,103,-7.42606357652855,3.35261227865275e-11,"*"
"16","GBEV","PVEV",-3.42525114870645,2.12985314200934,103,-1.60821001276877,0.110850271630495,"*"
"20","GBEV","PVEV",-10.5102926330594,2.12985314200934,103,-4.93474992512572,3.09766076799742e-06,"*"
"24","GBEV","PVEV",-6.02886628750569,2.12985314200935,103,-2.83064882202063,0.00558652970538494,"*"
