"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","EXEV","GBEV",3.0377303845729e-15,2.12985314200879,103,1.42626283693336e-15,0.999999999999999,"NS"
"2","EXEV","GBEV",0.681497466498052,2.12985314200879,103,0.319973923580144,0.749636255847393,"NS"
"4","EXEV","GBEV",4.93188350929887,2.12985314200879,103,2.31559792176437,0.0225624335021039,"*"
"6","EXEV","GBEV",0.436321884701792,2.12985314200879,103,0.204860079831735,0.838085733968452,"NS"
"8","EXEV","GBEV",-4.36900554677272,2.12985314200879,103,-2.05131774609213,0.0427738527951196,"*"
"12","EXEV","GBEV",-2.04813016457051,2.12985314200879,103,-0.961629759429701,0.338487724539493,"*"
"16","EXEV","GBEV",-7.84950736392364,2.12985314200879,103,-3.68546882839082,0.000366116707607315,"*"
"20","EXEV","GBEV",1.92859156115393,2.12985314200879,103,0.905504479682088,0.367311478421955,"*"
"24","EXEV","GBEV",0.317125630385322,2.12985314200879,103,0.148895538443661,0.881927194897183,"NS"
"0","EXEV","GVEV",1.71310131466688e-14,2.12985314200879,103,8.04328374045149e-15,0.999999999999994,"NS"
"2","EXEV","GVEV",-1.70501925209796,2.12985314200879,103,-0.800533716841083,0.425244278947763,"*"
"4","EXEV","GVEV",-8.30311584936206,2.12985314200879,103,-3.89844524281655,0.000172594451109207,"*"
"6","EXEV","GVEV",-21.4734724460965,2.12985314200879,103,-10.0821376002683,4.8572492037157e-17,"*"
"8","EXEV","GVEV",-35.5995448445827,2.12985314200879,103,-16.714553760738,4.20666458706776e-31,"*"
"12","EXEV","GVEV",-19.5918874758132,2.12985314200879,103,-9.19870346428436,4.46866454745045e-15,"*"
"16","EXEV","GVEV",-11.6393591002349,2.12985314200879,103,-5.4648646287683,3.24220418299516e-07,"*"
"20","EXEV","GVEV",-5.41931643891194,2.12985314200879,103,-2.54445545189123,0.0124286538884976,"*"
"24","EXEV","GVEV",-2.79818335301315,2.12985314200879,103,-1.31379168724,0.191835043440883,"*"
"0","EXEV","PAEV",-3.02097937267064e-14,2.12985314200879,103,-1.41839796983438e-14,0.999999999999989,"NS"
"2","EXEV","PAEV",16.9838329708635,2.12985314200879,103,7.97418030186112,2.20630046526809e-12,"*"
"4","EXEV","PAEV",30.2988743867304,2.12985314200879,103,14.2258044881694,4.7209260191457e-26,"*"
"6","EXEV","PAEV",27.4456553864054,2.12985314200879,103,12.8861726872491,3.32020123506044e-23,"*"
"8","EXEV","PAEV",21.6399268553031,2.12985314200879,103,10.1602905986716,3.25489996614785e-17,"*"
"12","EXEV","PAEV",11.8642605376496,2.12985314200879,103,5.57045943856003,2.03979717138086e-07,"*"
"16","EXEV","PAEV",8.81289946072631,2.12985314200879,103,4.13779677429512,7.17941881320882e-05,"*"
"20","EXEV","PAEV",2.97771358742946,2.12985314200879,103,1.39808399400768,0.165091249086795,"*"
"24","EXEV","PAEV",6.66427087546986,2.12985314200879,103,3.12898140441006,0.0022818066496516,"*"
"0","EXEV","PQEV",1.39710634653408e-14,2.12985314200879,103,6.55963699551783e-15,0.999999999999995,"NS"
"2","EXEV","PQEV",57.2383764420255,2.12985314200879,103,26.8743301183858,2.40073197306753e-48,"*"
"4","EXEV","PQEV",63.10768293636,2.12985314200879,103,29.6300630741326,3.23287460742048e-52,"*"
"6","EXEV","PQEV",52.5253383829136,2.12985314200879,103,24.6614836238774,5.14799293094786e-45,"*"
"8","EXEV","PQEV",24.9941294283556,2.12985314200879,103,11.735142172658,1.06298255046077e-20,"*"
"12","EXEV","PQEV",12.7454011504094,2.12985314200879,103,5.9841690016188,3.19072763088751e-08,"*"
"16","EXEV","PQEV",7.26807562828051,2.12985314200879,103,3.41247736049329,0.000921238132008302,"*"
"20","EXEV","PQEV",5.64806374174016,2.12985314200879,103,2.65185595679763,0.0092707559086266,"*"
"24","EXEV","PQEV",0.658367992647167,2.12985314200879,103,0.309114266923691,0.757859020179426,"NS"
"0","EXEV","PVEV",1.40095993098435e-14,2.12985314200879,103,6.57773018877264e-15,0.999999999999995,"NS"
"2","EXEV","PVEV",19.7540667973288,2.12985314200879,103,9.27484924087187,3.02851059282646e-15,"*"
"4","EXEV","PVEV",27.9705122573367,2.12985314200879,103,13.1326013543619,9.80373648456341e-24,"*"
"6","EXEV","PVEV",15.0607231441277,2.12985314200879,103,7.07124958386708,1.89805159359551e-10,"*"
"8","EXEV","PVEV",-1.35481084512851,2.12985314200879,103,-0.636105287452217,0.526118769104937,"NS"
"12","EXEV","PVEV",-17.864555005801,2.12985314200879,103,-8.38769333596019,2.75759065582477e-13,"*"
"16","EXEV","PVEV",-11.2747585126301,2.12985314200879,103,-5.29367884116001,6.80798135028567e-07,"*"
"20","EXEV","PVEV",-8.58170107190549,2.12985314200879,103,-4.02924544544492,0.000107308083143609,"*"
"24","EXEV","PVEV",-5.71174065712037,2.12985314200879,103,-2.6817532835777,0.00853153733788835,"*"
