ID,TEMPOS,TRATAMENTO EM EVIDENCIA,TRATAMENTO COMPARADO,VALUE,STD.ERROR,DF,T.VALUE,P.VALUE,SIGN.
1,0,GVEV,EXEV,-3.37681594139468e-15,2.12985314200871,103,-1.5854689108799e-15,0.999999999999999,NS
2,2,GVEV,EXEV,1.70501925209797,2.12985314200871,103,0.80053371684112,0.425244278947741,*
3,4,GVEV,EXEV,8.30311584936207,2.12985314200871,103,3.8984452428167,0.000172594451109112,*
4,6,GVEV,EXEV,21.4734724460965,2.12985314200871,103,10.0821376002687,4.85724920370637e-17,*
5,8,GVEV,EXEV,35.5995448445826,2.12985314200871,103,16.7145537607386,4.206664587056e-31,*
6,12,GVEV,EXEV,19.5918874758132,2.12985314200871,103,9.19870346428471,4.46866454744229e-15,*
7,16,GVEV,EXEV,11.6393591002349,2.12985314200871,103,5.4648646287685,3.24220418299233e-07,*
8,20,GVEV,EXEV,5.41931643891193,2.12985314200871,103,2.54445545189132,0.0124286538884945,*
9,24,GVEV,EXEV,2.79818335301315,2.12985314200871,103,1.31379168724005,0.191835043440867,*
10,0,GVEV,GBEV,-1.65720271016996e-14,2.12985314200871,103,-7.78083088210963e-15,0.999999999999994,NS
11,2,GVEV,GBEV,2.38651671859601,2.12985314200871,103,1.12050764042127,0.265103346170744,*
12,4,GVEV,GBEV,13.2349993586609,2.12985314200871,103,6.21404316458114,1.11000258763685e-08,*
13,6,GVEV,GBEV,21.9097943307983,2.12985314200871,103,10.2869976801004,1.70111830933394e-17,*
14,8,GVEV,GBEV,31.2305392978099,2.12985314200871,103,14.6632360146464,5.79270020382399e-27,*
15,12,GVEV,GBEV,17.5437573112427,2.12985314200871,103,8.23707370485496,5.89462726900896e-13,*
16,16,GVEV,GBEV,3.78985173631123,2.12985314200871,103,1.77939580037755,0.0781244028800566,*
17,20,GVEV,GBEV,7.34790800006586,2.12985314200871,103,3.44995993157344,0.000813898313787853,*
18,24,GVEV,GBEV,3.11530898339847,2.12985314200871,103,1.46268722568372,0.146597719948143,*
19,0,GVEV,PAEV,4.00225170678814e-15,2.12985314200871,103,1.87912097216878e-15,0.999999999999998,NS
20,2,GVEV,PAEV,18.6888522229616,2.12985314200871,103,8.77471401870258,3.87814456926566e-14,*
21,4,GVEV,PAEV,38.6019902360924,2.12985314200871,103,18.1242497309866,8.1773010751162e-34,*
22,6,GVEV,PAEV,48.9191278325019,2.12985314200871,103,22.9683102875183,2.55971472610211e-42,*
23,8,GVEV,PAEV,57.2394716998858,2.12985314200871,103,26.8748443594106,2.39658892236913e-48,*
24,12,GVEV,PAEV,31.4561480134628,2.12985314200871,103,14.769162902845,3.49701635083318e-27,*
25,16,GVEV,PAEV,20.4522585609611,2.12985314200871,103,9.60266140306376,5.66182673599804e-16,*
26,20,GVEV,PAEV,8.39703002634132,2.12985314200871,103,3.94253944589903,0.000147209151898313,*
27,24,GVEV,PAEV,9.46245422848298,2.12985314200871,103,4.44277309165022,2.24143315678958e-05,*
28,0,GVEV,PQEV,-3.42069925552852e-14,2.12985314200871,103,-1.6060728263651e-14,0.999999999999987,NS
29,2,GVEV,PQEV,58.9433956941234,2.12985314200871,103,27.6748638352279,1.68086756525847e-49,*
30,4,GVEV,PQEV,71.410798785722,2.12985314200871,103,33.5285083169504,3.13195561392546e-57,*
31,6,GVEV,PQEV,73.99881082901,2.12985314200871,103,34.743621224147,1.07524014827849e-58,*
32,8,GVEV,PQEV,60.5936742729382,2.12985314200871,103,28.4496959333971,1.35485306844635e-50,*
33,12,GVEV,PQEV,32.3372886262226,2.12985314200871,103,15.1828724659037,4.93413152383036e-28,*
34,16,GVEV,PQEV,18.9074347285154,2.12985314200871,103,8.87734198926193,2.30083778791342e-14,*
35,20,GVEV,PQEV,11.0673801806521,2.12985314200871,103,5.19631140868905,1.03258209765089e-06,*
36,24,GVEV,PQEV,3.45655134566031,2.12985314200871,103,1.62290595416375,0.107666388068557,*
37,0,GVEV,PVEV,1.67746222976682e-16,2.12985314200871,103,7.87595255598125e-17,1,NS
38,2,GVEV,PVEV,21.4590860494268,2.12985314200871,103,10.0753829577133,5.02825275081932e-17,*
39,4,GVEV,PVEV,36.2736281066987,2.12985314200871,103,17.0310465971791,1.01316330509306e-31,*
40,6,GVEV,PVEV,36.5341955902241,2.12985314200871,103,17.153387184136,5.86367069824889e-32,*
