ESP,EP,RESP
1,0,0.00
2,0,0.00
3,0,0.00
4,0,0.00
5,0,0.00
6,0,0.00
7,0,0.00
8,0,0.00
9,0,0.00
1,2,18.46
2,2,14.41
3,2,17.36
4,2,4.19
5,2,3.89
6,2,3.91
7,2,34.00
8,2,27.34
9,2,28.91
1,4,42.14
2,4,41.18
3,4,40.32
4,4,18.88
5,4,14.21
6,4,18.20
7,4,73.19
8,4,60.34
9,4,72.56
1,6,63.40
2,6,65.44
3,6,66.21
4,6,37.66
5,6,32.03
6,6,31.23
7,6,90.68
8,6,79.16
9,6,80.31
1,8,77.91
2,8,81.43
3,8,78.12
4,8,60.63
5,8,54.31
6,8,53.36
7,8,98.73
8,8,89.32
9,8,88.99
1,12,91.67
2,12,94.53
3,12,95.51
4,12,86.49
5,12,83.98
6,12,78.89
7,12,104.00
8,12,98.68
9,12,100.00
1,16,95.46
2,16,98.26
3,16,100.17
4,16,93.91
5,16,97.37
6,16,79.36
7,16,105.45
8,16,100.89
9,16,105.04
1,20,97.07
2,20,99.79
3,20,103.08
4,20,96.60
5,20,99.12
6,20,100.24
7,20,105.05
8,20,101.82
9,20,105.55
1,24,98.69
2,24,101.30
3,24,103.53
4,24,97.94
5,24,100.17
6,24,100.63
7,24,104.99
8,24,102.46
9,24,104.50
