ESP	EP	RESP
PASB	0	0
PASB	2	20.12410501
PASB	4	66.00477327
PASB	6	82.03
PASB	8	93.81
PASB	12	103.70
PASB	16	110.56
PASB	20	112.18
PASB	24	111.53
PASB	0	0
PASB	2	19.75484607
PASB	4	65.82098062
PASB	6	82.97
PASB	8	96.19
PASB	12	103.87
PASB	16	110.51
PASB	20	114.42
PASB	24	112.91
PASB	0	0
PASB	2	21.20084002
PASB	4	56.06147384
PASB	6	77.78
PASB	8	89.98
PASB	12	100.36
PASB	16	108.18
PASB	20	107.01
PASB	24	112.42
GVSB	0	0
GVSB	2	3.963472039
GVSB	4	14.74298625
GVSB	6	33.27
GVSB	8	46.39
GVSB	12	80.40
GVSB	16	100.09
GVSB	20	99.12
GVSB	24	108.25
GVSB	0	0
GVSB	2	3.979077153
GVSB	4	14.12292173
GVSB	6	34.09
GVSB	8	46.46
GVSB	12	80.74
GVSB	16	99.14
GVSB	20	100.43
GVSB	24	107.86
GVSB	0	0
GVSB	2	4.87781596
GVSB	4	15.17754868
GVSB	6	37.33
GVSB	8	49.78
GVSB	12	85.50
GVSB	16	103.47
GVSB	20	105.90
GVSB	24	107.53
GBSB	0	0
GBSB	2	8.187741996
GBSB	4	36.50958542
GBSB	6	77.80
GBSB	8	78.49
GBSB	12	101.34
GBSB	16	100.62
GBSB	20	107.84
GBSB	24	104.50
GBSB	0	0
GBSB	2	8.577878104
GBSB	4	37.35891648
GBSB	6	78.58
GBSB	8	79.19
GBSB	12	102.95
GBSB	16	102.07
GBSB	20	108.69
GBSB	24	104.51
GBSB	0	0
GBSB	2	7.123578176
GBSB	4	34.682861
GBSB	6	62.67
GBSB	8	81.25
GBSB	12	97.04
GBSB	16	109.10
GBSB	20	110.29
GBSB	24	111.10
PVSB	0	0
PVSB	2	20.00976086
PVSB	4	39.01415325
PVSB	6	47.25
PVSB	8	58.16
PVSB	12	76.60
PVSB	16	92.50
PVSB	20	94.77
PVSB	24	95.52
PVSB	0	0
PVSB	2	20.87613879
PVSB	4	39.5134716
PVSB	6	48.00
PVSB	8	54.53
PVSB	12	68.20
PVSB	16	80.97
PVSB	20	90.20
PVSB	24	98.19
PVSB	0	0
PVSB	2	19.64421613
PVSB	4	38.69863014
PVSB	6	46.48
PVSB	8	52.44
PVSB	12	79.76
PVSB	16	91.88
PVSB	20	89.92
PVSB	24	90.30
EXSB	0	0
EXSB	2	10.11127238
EXSB	4	22.12868892
EXSB	6	36.21
EXSB	8	58.30
EXSB	12	72.60
EXSB	16	89.35
EXSB	20	95.67
EXSB	24	101.03
EXSB	0	0
EXSB	2	4.04020689
EXSB	4	11.04713575
EXSB	6	25.47
EXSB	8	43.04
EXSB	12	91.80
EXSB	16	103.36
EXSB	20	103.28
EXSB	24	103.24
EXSB	0	0
EXSB	2	5.786078752
EXSB	4	16.04890729
EXSB	6	26.55
EXSB	8	49.42
EXSB	12	85.37
EXSB	16	93.74
EXSB	20	95.11
EXSB	24	98.07
PQSB	0	0
PQSB	2	51.48045795
PQSB	4	80.211212
PQSB	6	91.67
PQSB	8	97.59
PQSB	12	104.88
PQSB	16	106.49
PQSB	20	107.27
PQSB	24	108.11
PQSB	0	0
PQSB	2	47.41462473
PQSB	4	80.55180397
PQSB	6	91.15
PQSB	8	97.13
PQSB	12	104.73
PQSB	16	106.55
PQSB	20	107.06
PQSB	24	107.90
PQSB	0	0
PQSB	2	48.27350761
PQSB	4	80.56964495
PQSB	6	91.69
PQSB	8	98.99
PQSB	12	107.85
PQSB	16	106.33
PQSB	20	107.80
PQSB	24	110.52
