ESP	EP	RESP
PAEV	0	0
PAEV	2	23.02314131
PAEV	4	52.1319547
PAEV	6	68.25
PAEV	8	91.51
PAEV	12	103.37
PAEV	16	106.37
PAEV	20	101.93
PAEV	24	106.89
PAEV	0	0
PAEV	2	22.11711286
PAEV	4	63.87285971
PAEV	6	79.29
PAEV	8	94.71
PAEV	12	103.29
PAEV	16	111.87
PAEV	20	113.25
PAEV	24	114.63
PAEV	0	0
PAEV	2	19.95597243
PAEV	4	44.78369066
PAEV	6	70.25
PAEV	8	88.50
PAEV	12	103.27
PAEV	16	109.18
PAEV	20	109.75
PAEV	24	110.11
GVEV	0	0
GVEV	2	2.974807102
GVEV	4	11.4344148
GVEV	6	25.33
GVEV	8	45.09
GVEV	12	73.32
GVEV	16	90.25
GVEV	20	96.35
GVEV	24	98.88
GVEV	0	0
GVEV	2	3.256171357
GVEV	4	9.71088272
GVEV	6	24.45
GVEV	8	44.78
GVEV	12	72.43
GVEV	16	100.08
GVEV	20	103.73
GVEV	24	107.39
GVEV	0	0
GVEV	2	1.975002385
GVEV	4	7.184428967
GVEV	6	18.78
GVEV	8	30.42
GVEV	12	70.59
GVEV	16	85.32
GVEV	20	94.42
GVEV	24	98.18
GBEV	0	0
GBEV	2	4.873869586
GBEV	4	27.01570681
GBEV	6	49.16
GBEV	8	71.42
GBEV	12	93.69
GBEV	16	102.38
GBEV	20	111.06
GBEV	24	114.81
GBEV	0	0
GBEV	2	4.145174904
GBEV	4	26.94363688
GBEV	6	50.01
GBEV	8	73.08
GBEV	12	89.15
GBEV	16	105.23
GBEV	20	106.50
GBEV	24	107.77
GBEV	0	0
GBEV	2	6.863572433
GBEV	4	19.54055321
GBEV	6	40.39
GBEV	8	61.72
GBEV	12	88.02
GBEV	16	88.77
GBEV	20	101.07
GBEV	24	99.93
PVEV	0	0
PVEV	2	24.25561381
PVEV	4	44.20813137
PVEV	6	57.27
PVEV	8	66.90
PVEV	12	70.85
PVEV	16	92.59
PVEV	20	96.03
PVEV	24	99.32
PVEV	0	0
PVEV	2	24.99035866
PVEV	4	45.10219823
PVEV	6	57.96
PVEV	8	66.89
PVEV	12	79.64
PVEV	16	85.49
PVEV	20	90.54
PVEV	24	94.18
PVEV	0	0
PVEV	2	23.40105342
PVEV	4	46.62340105
PVEV	6	57.90
PVEV	8	69.22
PVEV	12	87.70
PVEV	16	100.76
PVEV	20	101.42
PVEV	24	102.70
EXEV	0	0
EXEV	2	5.411607228
EXEV	4	18.13748924
EXEV	6	42.31
EXEV	8	68.37
EXEV	12	94.98
EXEV	16	100.33
EXEV	20	101.13
EXEV	24	101.02
EXEV	0	0
EXEV	2	3.325277912
EXEV	4	16.24939584
EXEV	6	41.61
EXEV	8	69.06
EXEV	12	93.61
EXEV	16	99.20
EXEV	20	100.71
EXEV	24	102.00
EXEV	0	0
EXEV	2	4.879227053
EXEV	4	17.44927536
EXEV	6	45.12
EXEV	8	69.09
EXEV	12	89.29
EXEV	16	98.93
EXEV	20	104.22
EXEV	24	106.14
PQEV	0	0
PQEV	2	64.32560341
PQEV	4	86.21864647
PQEV	6	95.62
PQEV	8	91.25
PQEV	12	105.18
PQEV	16	105.90
PQEV	20	106.33
PQEV	24	106.00
PQEV	0	0
PQEV	2	59.52793834
PQEV	4	77.57225434
PQEV	6	94.81
PQEV	8	100.23
PQEV	12	104.72
PQEV	16	106.30
PQEV	20	106.92
PQEV	24	106.96
PQEV	0	0
PQEV	2	64.01508011
PQEV	4	88.3600377
PQEV	6	95.10
PQEV	8	97.92
PQEV	12	103.14
PQEV	16	108.58
PQEV	20	109.54
PQEV	24	100.63
