"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","PQET","EXET",-1.47255108946138e-15,1.20243416685743,103,-1.22464175590578e-15,0.999999999999999,"NS"
"2","PQET","EXET",-44.8113922178472,1.20243416685743,103,-37.267231298793,1.3305142381153e-61,"*"
"4","PQET","EXET",-67.5354255810262,1.20243416685743,103,-56.1655909674711,4.45013322979787e-79,"*"
"6","PQET","EXET",-55.9545444648637,1.20243416685743,103,-46.5343933224231,5.56450328500397e-71,"*"
"8","PQET","EXET",-41.1625537053821,1.20243416685743,103,-34.2326880256245,4.38428986493759e-58,"*"
"12","PQET","EXET",-17.1723984852973,1.20243416685743,103,-14.2813627212353,3.61220345387169e-26,"*"
"16","PQET","EXET",-11.6841379655288,1.20243416685743,103,-9.71707082813974,3.15161734647119e-16,"*"
"20","PQET","EXET",-8.66553465863776,1.20243416685743,103,-7.20666037067559,9.82275590202283e-11,"*"
"24","PQET","EXET",-6.5783339281343,1.20243416685743,103,-5.47084747710291,3.15855233022054e-07,"*"
"0","PQET","GBET",1.15270646180854e-14,1.20243416685743,103,9.58644135022503e-15,0.999999999999992,"NS"
"2","PQET","GBET",-42.4031598928221,1.20243416685743,103,-35.2644336476591,2.61252723649123e-59,"*"
"4","PQET","GBET",-44.7973024645753,1.20243416685743,103,-37.2555136067477,1.37127439780192e-61,"*"
"6","PQET","GBET",-48.3447295200762,1.20243416685743,103,-40.2057184107015,8.82114419870021e-65,"*"
"8","PQET","GBET",-28.2925375821707,1.20243416685743,103,-23.5293859422786,3.16070026294442e-43,"*"
"12","PQET","GBET",-14.2340793352886,1.20243416685743,103,-11.8377202907411,6.33013205294286e-21,"*"
"16","PQET","GBET",-7.29844547524764,1.20243416685743,103,-6.06972562524748,2.15810523429576e-08,"*"
"20","PQET","GBET",-5.10186910727815,1.20243416685743,103,-4.24295088072217,4.8335074285541e-05,"*"
"24","PQET","GBET",-6.42833126791619,1.20243416685743,103,-5.34609831049353,5.43140695687109e-07,"*"
"0","PQET","GVET",6.175881825727e-15,1.20243416685743,103,5.13614965039435e-15,0.999999999999996,"NS"
"2","PQET","GVET",-46.8669950054977,1.20243416685743,103,-38.9767658781561,1.77555623977974e-63,"*"
"4","PQET","GVET",-74.1106298395746,1.20243416685743,103,-61.6338356662497,4.08824583484651e-83,"*"
"6","PQET","GVET",-71.6950147510451,1.20243416685743,103,-59.6248981667085,1.1319580416586e-81,"*"
"8","PQET","GVET",-64.7136093418239,1.20243416685743,103,-53.8188377588716,3.12789705651095e-77,"*"
"12","PQET","GVET",-48.6602821565487,1.20243416685743,103,-40.4681466127353,4.69527849489541e-65,"*"
"16","PQET","GVET",-28.3241902377457,1.20243416685743,103,-23.5557097581244,2.86767750635438e-43,"*"
"20","PQET","GVET",-17.0789619977837,1.20243416685743,103,-14.2036566063485,5.25307802719166e-26,"*"
"24","PQET","GVET",-12.3467109978584,1.20243416685743,103,-10.2680972798092,1.87397625748287e-17,"*"
"0","PQET","PAET",-3.20810673229167e-14,1.20243416685743,103,-2.66801029172023e-14,0.999999999999979,"NS"
"2","PQET","PAET",-22.9538205523879,1.20243416685743,103,-19.0894613485393,1.31567344738034e-35,"*"
"4","PQET","PAET",-22.8231161239375,1.20243416685743,103,-18.980761486166,2.08250547785817e-35,"*"
"6","PQET","PAET",-14.3038885978045,1.20243416685743,103,-11.8957769099225,4.72222956355405e-21,"*"
"8","PQET","PAET",-7.49515922557205,1.20243416685743,103,-6.23332189999284,1.0151711810853e-08,"*"
"12","PQET","PAET",-1.14044595334188,1.20243416685743,103,-0.948447727764128,0.345121574856986,"*"
"16","PQET","PAET",-0.477815150383795,1.20243416685743,103,-0.397373231361654,0.691914532993548,"NS"
"20","PQET","PAET",-0.013273384549956,1.20243416685743,103,-0.0110387619678557,0.991213873978105,"NS"
"24","PQET","PAET",-0.711429760617342,1.20243416685743,103,-0.591657971992487,0.555376029315831,"NS"
"0","PQET","PVET",1.22421599799128e-15,1.20243416685743,103,1.01811478061272e-15,0.999999999999999,"NS"
"2","PQET","PVET",-22.5671519217547,1.20243416685743,103,-18.767889788706,5.14059768625768e-35,"*"
"4","PQET","PVET",-34.5143271662337,1.20243416685743,103,-28.703714612865,6.00311281489354e-51,"*"
"6","PQET","PVET",-33.5192068490078,1.20243416685743,103,-27.8761264216323,8.69391453198302e-50,"*"
"8","PQET","PVET",-31.2868768696844,1.20243416685743,103,-26.0196173163083,4.38783248972334e-47,"*"
"12","PQET","PVET",-15.1148142505406,1.20243416685743,103,-12.5701802785954,1.60000076502378e-22,"*"
"16","PQET","PVET",-11.1852276458772,1.20243416685743,103,-9.30215387600797,2.63404512446124e-15,"*"
"20","PQET","PVET",-10.5188993861079,1.20243416685743,103,-8.74800440310101,4.44204567589191e-14,"*"
"24","PQET","PVET",-11.0787666534296,1.20243416685743,103,-9.21361597898041,4.14093650031661e-15,"*"
