"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","CPET","AGET",-9.13100901469691e-15,0.711141387518328,137,-1.28399347513178e-14,0.99999999999999,"SN"
"1","CPET","AGET",-18.3471031652022,0.711141387518328,137,-25.7995153807995,1.90282807689513e-54,"*"
"2","CPET","AGET",-60.9846793921807,0.711141387518328,137,-85.7560542285397,6.24768924824996e-121,"*"
"3","CPET","AGET",-60.0167356007716,0.711141387518328,137,-84.394941222887,5.37141307189228e-120,"*"
"4","CPET","AGET",-28.3748638703075,0.711141387518328,137,-39.9004535080251,2.66717406311361e-77,"*"
"6","CPET","AGET",-5.45268614803257,0.711141387518328,137,-7.66751344210302,2.91487308814412e-12,"*"
"8","CPET","AGET",-1.0482769911774,0.711141387518328,137,-1.47407675825981,0.142755070083482,"*"
"12","CPET","AGET",0.462328143527485,0.711141387518328,137,0.650121272143748,0.516702575787061,"SN"
"16","CPET","AGET",1.17090610138009,0.711141387518329,137,1.64651660264944,0.101949506305362,"*"
"0","CPET","CMET",-1.37018641685742e-16,0.711141387518328,137,-1.92674261533133e-16,1,"SN"
"1","CPET","CMET",-14.1634080878013,0.711141387518328,137,-19.9164446569864,2.77716411542332e-42,"*"
"2","CPET","CMET",-52.0297279670654,0.711141387518328,137,-73.1636899219629,1.10471895960561e-111,"*"
"3","CPET","CMET",-53.3074437833333,0.711141387518328,137,-74.9604012914512,4.31228846931385e-113,"*"
"4","CPET","CMET",-37.0429010105484,0.711141387518328,137,-52.0893617791212,3.53723435876309e-92,"*"
"6","CPET","CMET",-2.41834116578078,0.711141387518328,137,-3.40064747774008,0.000881157874104459,"*"
"8","CPET","CMET",4.30017690268209,0.711141387518328,137,6.04686631682123,1.32508196950429e-08,"*"
"12","CPET","CMET",5.70554881664656,0.711141387518328,137,8.02308643089559,4.12815928651013e-13,"*"
"16","CPET","CMET",5.34436377612125,0.711141387518328,137,7.51519159188792,6.6675115634154e-12,"*"
"0","CPET","CVET",1.4658746873499e-15,0.711141387518328,137,2.06129851683273e-15,0.999999999999998,"SN"
