ESP	EP	RESP
PAET	0	0
PAET	2	25.70480929
PAET	4	57.71144279
PAET	6	75.51
PAET	8	89.54
PAET	12	102.91
PAET	16	107.59
PAET	20	109.06
PAET	24	109.72
PAET	0	0
PAET	2	25.98734663
PAET	4	60.10352761
PAET	6	81.96
PAET	8	93.70
PAET	12	104.32
PAET	16	107.26
PAET	20	107.72
PAET	24	107.39
PAET	0	0
PAET	2	26.17661569
PAET	4	57.83917119
PAET	6	76.12
PAET	8	92.90
PAET	12	100.38
PAET	16	105.28
PAET	20	106.52
PAET	24	106.94
GVET	0	0
GVET	2	1.549576956
GVET	4	7.348607282
GVET	6	17.68
GVET	8	32.08
GVET	12	66.08
GVET	16	85.53
GVET	20	93.23
GVET	24	96.14
GVET	0	0
GVET	2	2.889507536
GVET	4	7.257367764
GVET	6	22.04
GVET	8	42.05
GVET	12	66.13
GVET	16	92.53
GVET	20	96.88
GVET	24	98.77
GVET	0	0
GVET	2	1.937716263
GVET	4	6.426099852
GVET	6	20.07
GVET	8	38.84
GVET	12	52.48
GVET	16	76.80
GVET	20	88.76
GVET	24	94.99
GBET	0	0
GBET	2	6.618054274
GBET	4	36.09931697
GBET	6	46.73
GBET	8	75.17
GBET	12	86.93
GBET	16	98.56
GBET	20	101.36
GBET	24	104.90
GBET	0	0
GBET	2	6.117400818
GBET	4	36.15260204
GBET	6	42.70
GBET	8	70.10
GBET	12	99.54
GBET	16	100.29
GBET	20	104.01
GBET	24	104.09
GBET	0	0
GBET	2	6.838491205
GBET	4	36.5911015
GBET	6	41.18
GBET	8	69.19
GBET	12	93.43
GBET	16	100.55
GBET	20	102.78
GBET	24	100.43
PVET	0	0
PVET	2	25.74601642
PVET	4	47.32979237
PVET	6	57.97
PVET	8	71.85
PVET	12	91.08
PVET	16	97.53
PVET	20	96.57
PVET	24	97.83
PVET	0	0
PVET	2	28.86766975
PVET	4	46.92322531
PVET	6	58.57
PVET	8	67.13
PVET	12	87.63
PVET	16	94.19
PVET	20	96.15
PVET	24	96.01
PVET	0	0
PVET	2	25.86529467
PVET	4	45.80916745
PVET	6	56.12
PVET	8	66.19
PVET	12	86.81
PVET	16	98.52
PVET	20	100.95
PVET	24	101.76
EXET	0	0
EXET	2	3.230187215
EXET	4	13.41546222
EXET	6	33.44
EXET	8	61.52
EXET	12	97.59
EXET	16	94.54
EXET	20	100.85
EXET	24	103.81
EXET	0	0
EXET	2	5.345321609
EXET	4	13.99071238
EXET	6	37.23
EXET	8	56.17
EXET	12	83.97
EXET	16	94.51
EXET	20	97.24
EXET	24	100.26
EXET	0	0
EXET	2	4.392790308
EXET	4	13.26701468
EXET	6	35.91
EXET	8	57.59
EXET	12	94.08
EXET	16	101.17
EXET	20	104.41
EXET	24	105.48
PQET	0	0
PQET	2	48.28660436
PQET	4	80.52959502
PQET	6	91.15
PQET	8	98.10
PQET	12	103.70
PQET	16	106.15
PQET	20	107.17
PQET	24	108.07
PQET	0	0
PQET	2	49.94659676
PQET	4	80.98844548
PQET	6	92.00
PQET	8	101.90
PQET	12	103.95
PQET	16	107.90
PQET	20	107.53
PQET	24	108.50
PQET	0	0
PQET	2	48.88342351
PQET	4	82.01672405
PQET	6	89.78
PQET	8	97.74
PQET	12	101.83
PQET	16	106.91
PQET	20	107.72
PQET	24	108.52
