ESP	EP	RESP
MBSB	0	0
MBSB	1	20.22559315
MBSB	2	44.79774407
MBSB	3	65.28588098
MBSB	4	84.16958382
MBSB	6	100.9432128
MBSB	8	105.6690004
MBSB	12	107.1859199
MBSB	16	105.7273434
MBSB	0	0
MBSB	1	24.78541807
MBSB	2	48.68357604
MBSB	3	67.20995274
MBSB	4	80.94319607
MBSB	6	98.83306008
MBSB	8	103.4622432
MBSB	12	105.1210339
MBSB	16	104.8124216
MBSB	0	0
MBSB	1	23.01504684
MBSB	2	47.74297341
MBSB	3	65.24084414
MBSB	4	80.09841961
MBSB	6	95.48594682
MBSB	8	103.1134665
MBSB	12	105.5550298
MBSB	16	104.6276143
MRSB	0	0
MRSB	1	4.528228549
MRSB	2	24.91497425
MRSB	3	67.82625595
MRSB	4	92.28452045
MRSB	6	106.8214945
MRSB	8	110.2808279
MRSB	12	112.0590808
MRSB	16	110.8832961
MRSB	0	0
MRSB	1	3.179526948
MRSB	2	21.08375339
MRSB	3	63.10585498
MRSB	4	88.99767352
MRSB	6	106.1457929
MRSB	8	109.6355176
MRSB	12	111.4870105
MRSB	16	110.7890655
MRSB	0	0
MRSB	1	3.837386018
MRSB	2	23.49924012
MRSB	3	64.8081307
MRSB	4	89.33320669
MRSB	6	105.756079
MRSB	8	109.7169453
MRSB	12	111.0847264
MRSB	16	111.5121581
QTSB	0	0
QTSB	1	58.7688734
QTSB	2	86.80797522
QTSB	3	96.06078204
QTSB	4	100
QTSB	6	103.5714286
QTSB	8	104.1811847
QTSB	12	104.7619048
QTSB	16	102.274487
QTSB	0	0
QTSB	1	60.21160023
QTSB	2	84.65898356
QTSB	3	93.26468921
QTSB	4	98.69639146
QTSB	6	101.3508407
QTSB	8	103.1173248
QTSB	12	102.8339316
QTSB	16	101.9176271
QTSB	0	0
QTSB	1	59.29512006
QTSB	2	84.15956623
QTSB	3	96.56274206
QTSB	4	100.2130132
QTSB	6	100.9682417
QTSB	8	103.2629744
QTSB	12	103.5147173
QTSB	16	103.3985283
AGSB	0	0
AGSB	1	5.21101267
AGSB	2	16.91911975
AGSB	3	22.72077736
AGSB	4	54.0821187
AGSB	6	97.10393446
AGSB	8	110.5172907
AGSB	12	115.8045156
AGSB	16	115.2900829
AGSB	0	0
AGSB	1	4.829406589
AGSB	2	15.7102356
AGSB	3	28.09658813
AGSB	4	49.3596637
AGSB	6	97.88835663
AGSB	8	111.0665754
AGSB	12	116.2968032
AGSB	16	115.2703099
AGSB	0	0
AGSB	1	4.72251611
AGSB	2	13.99442147
AGSB	3	24.68019621
AGSB	4	54.09252669
AGSB	6	105.2996057
AGSB	8	113.7443493
AGSB	12	115.9661441
AGSB	16	115.0716553
CMSB	0	0
CMSB	1	5.677834048
CMSB	2	14.13128165
CMSB	3	22.7015972
CMSB	4	55.59018309
CMSB	6	98.17880795
CMSB	8	118.8157382
CMSB	12	123.3638489
CMSB	16	123.2567199
CMSB	0	0
CMSB	1	6.341603602
CMSB	2	17.10891848
CMSB	3	26.4680525
CMSB	4	60.53261807
CMSB	6	103.7264106
CMSB	8	111.370821
CMSB	12	123.7858032
CMSB	16	125.1939841
CMSB	0	0
CMSB	1	6.533294675
CMSB	2	17.18372475
CMSB	3	24.09394027
CMSB	4	59.12824973
CMSB	6	104.474727
CMSB	8	121.1655552
CMSB	12	121.7067749
CMSB	16	121.1268967
CPSB	0	0
CPSB	1	19.51550388
CPSB	2	63.41085271
CPSB	3	88.96317829
CPSB	4	105.2034884
CPSB	6	112.0155039
CPSB	8	113.9147287
CPSB	12	113.0135659
CPSB	16	110.0968992
CPSB	0	0
CPSB	1	21.32977201
CPSB	2	66.61261089
CPSB	3	90.54659926
CPSB	4	107.2498331
CPSB	6	115.9496327
CPSB	8	114.0799389
CPSB	12	113.5838977
CPSB	16	110.3691691
CPSB	0	0
CPSB	1	21.64908167
CPSB	2	67.58499414
CPSB	3	89.72254787
CPSB	4	105.07034
CPSB	6	112.3974209
CPSB	8	115.279406
CPSB	12	119.2457991
CPSB	16	118.7084799
PPSB	0	0
PPSB	1	0.999048525
PPSB	2	2.949571836
PPSB	3	18.22074215
PPSB	4	41.86489058
PPSB	6	95.1284491
PPSB	8	111.6175071
PPSB	12	112.7973359
PPSB	16	109.4576594
PPSB	0	0
PPSB	1	1.40178064
PPSB	2	4.281113847
PPSB	3	19.81435878
PPSB	4	38.23640841
PPSB	6	91.93976132
PPSB	8	109.8314075
PPSB	12	113.3263876
PPSB	16	109.78405
PPSB	0	0
PPSB	1	1.468428781
PPSB	2	3.191385218
PPSB	3	19.75526187
PPSB	4	39.54968184
PPSB	6	96.11355849
PPSB	8	112.0117474
PPSB	12	113.3235438
PPSB	16	109.3685756
CVSB	0	0
CVSB	1	51.56619385
CVSB	2	88.4357762
CVSB	3	103.5165485
CVSB	4	110.214736
CVSB	6	113.5736801
CVSB	8	115.2679275
CVSB	12	113.8888889
CVSB	16	110.9535067
CVSB	0	0
CVSB	1	51.67883212
CVSB	2	87.64963504
CVSB	3	101.6545012
CVSB	4	109.2944039
CVSB	6	108.9829684
CVSB	8	115.4355231
CVSB	12	116.0778589
CVSB	16	113.2360097
CVSB	0	0
CVSB	1	51.01187001
CVSB	2	87.79918272
CVSB	3	101.3329442
CVSB	4	109.1068301
CVSB	6	111.8992022
CVSB	8	114.9445417
CVSB	12	115.3823701
CVSB	16	114.8083285
