"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","GBT0","EXT0",3.38930717151216e-15,1.40265592841427,103,2.41634965699952e-15,0.999999999999998,"NS"
"2","GBT0","EXT0",0.394522942845045,1.40265592841427,103,0.281268509869745,0.779068729278032,"NS"
"4","GBT0","EXT0",5.60727153085967,1.40265592841427,103,3.99761011754238,0.000120489184713439,"*"
"6","GBT0","EXT0",1.65279011437936,1.40265592841427,103,1.1783289692775,0.241380617535932,"*"
"8","GBT0","EXT0",-2.43105401046087,1.40265592841427,103,-1.73317915050573,0.0860565125128766,"*"
"12","GBT0","EXT0",-4.91340975798029,1.40265592841427,103,-3.50293301332637,0.000682122820009329,"*"
"16","GBT0","EXT0",-0.352014167867355,1.40265592841427,103,-0.250962592276864,0.802342999342819,"NS"
"20","GBT0","EXT0",-1.65873362249365,1.40265592841427,103,-1.18256629362333,0.239703733457625,"*"
"24","GBT0","EXT0",-1.81196542417445,1.40265592841427,103,-1.29181033457215,0.199313970470698,"*"
"0","GBT0","GVT0",1.30993761801791e-14,1.40265592841427,103,9.33898036918311e-15,0.999999999999993,"NS"
"2","GBT0","GVT0",-3.28937482407002,1.40265592841427,103,-2.34510456729665,0.0209386692974462,"*"
"4","GBT0","GVT0",-10.6494409902186,1.40265592841427,103,-7.59234019868154,1.4759251092502e-11,"*"
"6","GBT0","GVT0",-19.9704202409912,1.40265592841427,103,-14.2375758990077,4.46049357813679e-26,"*"
"8","GBT0","GVT0",-26.5427855899235,1.40265592841427,103,-18.9232334546439,2.65702541614423e-35,"*"
"12","GBT0","GVT0",-12.500918683775,1.40265592841427,103,-8.91232014247971,1.92548803504424e-14,"*"
"16","GBT0","GVT0",-7.87232018818,1.40265592841427,103,-5.61243853799544,1.69458144700533e-07,"*"
"20","GBT0","GVT0",2.24452240360918,1.40265592841427,103,1.6001945724114,0.112618354097129,"*"
"24","GBT0","GVT0",-0.95718240780451,1.40265592841427,103,-0.682407130939536,0.496513394381389,"*"
"0","GBT0","PAT0",6.84610314354713e-14,1.40265592841427,103,4.88081432150421e-14,0.999999999999961,"NS"
"2","GBT0","PAT0",19.5427822780464,1.40265592841427,103,13.9326985914072,1.94916277732538e-25,"*"
"4","GBT0","PAT0",31.76414988641,1.40265592841427,103,22.6457174870534,8.65608968498824e-42,"*"
"6","GBT0","PAT0",24.0767489006071,1.40265592841427,103,17.165113990447,5.56476320181926e-32,"*"
"8","GBT0","PAT0",11.5917953851317,1.40265592841427,103,8.2641759467245,5.14240163696264e-13,"*"
"12","GBT0","PAT0",3.83386984925115,1.40265592841427,103,2.73329315592415,0.00738171434819989,"*"
"16","GBT0","PAT0",2.94905094703685,1.40265592841427,103,2.10247637164363,0.0379492322927971,"*"
"20","GBT0","PAT0",1.84903384910498,1.40265592841427,103,1.31823764591745,0.19034814461333,"*"
"24","GBT0","PAT0",1.67238814953956,1.40265592841427,103,1.1923010594838,0.235882890473026,"*"
"0","GBT0","PQT0",1.21219749497026e-14,1.40265592841427,103,8.64215856800087e-15,0.999999999999993,"NS"
"2","GBT0","PQT0",62.2064514572606,1.40265592841427,103,44.3490454053022,6.24786299121229e-69,"*"
"4","GBT0","PQT0",60.1995700195275,1.40265592841427,103,42.9182729706097,1.54191375064683e-67,"*"
"6","GBT0","PQT0",47.2256155063217,1.40265592841427,103,33.6687098736404,2.11160915487304e-57,"*"
"8","GBT0","PQT0",26.4117651884777,1.40265592841427,103,18.8298246586651,3.94987028200391e-35,"*"
"12","GBT0","PQT0",12.9917802883521,1.40265592841427,103,9.26227168414681,3.22955303216988e-15,"*"
"16","GBT0","PQT0",5.70809574748291,1.40265592841427,103,4.06949105040752,9.25253033465001e-05,"*"
"20","GBT0","PQT0",4.38096507767305,1.40265592841427,103,3.12333551580666,0.00232212641959133,"*"
"24","GBT0","PQT0",3.74737824816073,1.40265592841427,103,2.67163042072422,0.00877561714483286,"*"
"0","GBT0","PVT0",5.58223175020796e-15,1.40265592841427,103,3.97975842622988e-15,0.999999999999997,"NS"
"2","GBT0","PVT0",22.4852752889735,1.40265592841427,103,16.0304995925791,9.52768556704007e-30,"*"
"4","GBT0","PVT0",23.8792744315756,1.40265592841427,103,17.024327882442,1.04411165152164e-31,"*"
"6","GBT0","PVT0",10.893863765414,1.40265592841427,103,7.7665973135192,6.2164092307532e-12,"*"
"8","GBT0","PVT0",-5.11608726567165,1.40265592841427,103,-3.6474285404087,0.000417528413805478,"*"
"12","GBT0","PVT0",-12.6663475785897,1.40265592841427,103,-9.03025989624501,1.05564432856545e-14,"*"
"16","GBT0","PVT0",-10.6121416243311,1.40265592841427,103,-7.56574824185741,1.68339323554778e-11,"*"
"20","GBT0","PVT0",-3.72841621653706,1.40265592841427,103,-2.65811175856371,0.00911144565293986,"*"
"24","GBT0","PVT0",-0.673121335069842,1.40265592841427,103,-0.479890557216566,0.632322729149439,"NS"
