"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","PVT0","EXT0",8.99737767679198e-16,1.40265592840183,103,6.4145293900005e-16,1,"NS"
"2","PVT0","EXT0",-22.0907523461285,1.40265592840183,103,-15.749231082849,3.49579087397397e-29,"*"
"4","PVT0","EXT0",-18.2720029007159,1.40265592840183,103,-13.0267177650151,1.65465326078954e-23,"*"
"6","PVT0","EXT0",-9.24107365103469,1.40265592840183,103,-6.58826834430012,1.92351701935916e-09,"*"
"8","PVT0","EXT0",2.6850332552108,1.40265592840183,103,1.91424938991994,0.0583634816159502,"*"
"12","PVT0","EXT0",7.75293782060937,1.40265592840183,103,5.52732688296764,2.46615331546682e-07,"*"
"16","PVT0","EXT0",10.2601274564638,1.40265592840183,103,7.3147856496454,5.78970734169118e-11,"*"
"20","PVT0","EXT0",2.0696825940434,1.40265592840183,103,1.47554546495346,0.143116422940579,"*"
"24","PVT0","EXT0",-1.13884408910463,1.40265592840183,103,-0.8119197773628,0.418710114313413,"*"
"0","PVT0","GBT0",1.49924904864448e-15,1.40265592840183,103,1.06886444372192e-15,0.999999999999999,"NS"
"2","PVT0","GBT0",-22.4852752889736,1.40265592840183,103,-16.0304995927212,9.52768556080481e-30,"*"
"4","PVT0","GBT0",-23.8792744315756,1.40265592840183,103,-17.024327882593,1.04411165081576e-31,"*"
"6","PVT0","GBT0",-10.893863765414,1.40265592840183,103,-7.76659731358807,6.21640922862293e-12,"*"
"8","PVT0","GBT0",5.11608726567165,1.40265592840183,103,3.64742854044103,0.000417528413759008,"*"
"12","PVT0","GBT0",12.6663475785897,1.40265592840183,103,9.03025989632506,1.05564432813451e-14,"*"
"16","PVT0","GBT0",10.6121416243311,1.40265592840183,103,7.56574824192448,1.68339323498963e-11,"*"
"20","PVT0","GBT0",3.72841621653704,1.40265592840183,103,2.65811175858726,0.00911144565234481,"*"
"24","PVT0","GBT0",0.673121335069826,1.40265592840183,103,0.479890557220809,0.632322729146432,"NS"
"0","PVT0","GVT0",1.24702860841403e-14,1.40265592840183,103,8.89048114482984e-15,0.999999999999993,"NS"
"2","PVT0","GVT0",-25.7746501130435,1.40265592840183,103,-18.3756041600386,2.75843442132666e-34,"*"
"4","PVT0","GVT0",-34.5287154217942,1.40265592840183,103,-24.6166680813418,6.04381054996812e-45,"*"
"6","PVT0","GVT0",-30.8642840064053,1.40265592840183,103,-22.004173212722,1.01095672441538e-40,"*"
"8","PVT0","GVT0",-21.4266983242518,1.40265592840183,103,-15.2758049143707,3.18710077152841e-28,"*"
"12","PVT0","GVT0",0.165428894814632,1.40265592840183,103,0.117939753766356,0.906345084657859,"NS"
"16","PVT0","GVT0",2.73982143615112,1.40265592840183,103,1.95330970387929,0.0534958116219372,"*"
"20","PVT0","GVT0",5.97293862014622,1.40265592840183,103,4.25830633101285,4.55982900200964e-05,"*"
"24","PVT0","GVT0",-0.284061072734671,1.40265592840183,103,-0.202516573724767,0.83991239142784,"NS"
"0","PVT0","PAT0",-1.46809533317541e-14,1.40265592840183,103,-1.04665392520612e-14,0.999999999999992,"NS"
"2","PVT0","PAT0",-2.94249301092713,1.40265592840183,103,-2.09780100119048,0.0383697567188863,"*"
"4","PVT0","PAT0",7.8848754548344,1.40265592840183,103,5.62138960466116,1.62875247951816e-07,"*"
"6","PVT0","PAT0",13.1828851351931,1.40265592840183,103,9.39851667701107,1.60932985370335e-15,"*"
"8","PVT0","PAT0",16.7078826508033,1.40265592840183,103,11.9116044872388,4.35983286490881e-21,"*"
"12","PVT0","PAT0",16.5002174278408,1.40265592840183,103,11.7635530522735,9.20757313454909e-21,"*"
"16","PVT0","PAT0",13.561192571368,1.40265592840183,103,9.66822461358679,4.04732567378544e-16,"*"
"20","PVT0","PAT0",5.57745006564206,1.40265592840183,103,3.97634940451643,0.000130203128340416,"*"
"24","PVT0","PAT0",2.34550948460942,1.40265592840183,103,1.6721916167152,0.0975217327230836,"*"
"0","PVT0","PQT0",6.3194430357807e-15,1.40265592840183,103,4.50534083792095e-15,0.999999999999996,"NS"
"2","PVT0","PQT0",39.7211761682871,1.40265592840183,103,28.3185458129742,2.06715891320789e-50,"*"
"4","PVT0","PQT0",36.320295587952,1.40265592840183,103,25.8939450883973,6.76675049449833e-47,"*"
"6","PVT0","PQT0",36.3317517409076,1.40265592840183,103,25.9021125603508,6.57859430441474e-47,"*"
"8","PVT0","PQT0",31.5278524541493,1.40265592840183,103,22.477253199273,1.64306482258893e-41,"*"
"12","PVT0","PQT0",25.6581278669418,1.40265592840183,103,18.292531580554,3.94691365935278e-34,"*"
"16","PVT0","PQT0",16.320237371814,1.40265592840183,103,11.6352392923681,1.76225050574111e-20,"*"
"20","PVT0","PQT0",8.10938129421009,1.40265592840183,103,5.78144727442162,7.97987500735593e-08,"*"
"24","PVT0","PQT0",4.42049958323056,1.40265592840183,103,3.15152097796872,0.00212723874670469,"*"
