ESP	EP	RESP
PAT0	0	0
PAT0	2	25.70679102
PAT0	4	53.33721947
PAT0	6	80.97
PAT0	8	90.65
PAT0	12	100.34
PAT0	16	105.58
PAT0	20	110.81
PAT0	24	111.67
PAT0	0	0
PAT0	2	24.09464027
PAT0	4	58.42588122
PAT0	6	71.95
PAT0	8	85.24
PAT0	12	94.19
PAT0	16	103.10
PAT0	20	103.95
PAT0	24	104.81
PAT0	0	0
PAT0	2	25.31084337
PAT0	4	59.57590361
PAT0	6	73.48
PAT0	8	86.76
PAT0	12	95.68
PAT0	16	104.58
PAT0	20	105.43
PAT0	24	106.28
GVT0	0	0
GVT0	2	2.04469805
GVT0	4	15.21635758
GVT0	6	28.39
GVT0	8	53.27
GVT0	12	78.15
GVT0	16	91.28
GVT0	20	104.41
GVT0	24	102.26
GVT0	0	0
GVT0	2	2.09327232
GVT0	4	12.17018791
GVT0	6	29.71
GVT0	8	47.25
GVT0	12	79.63
GVT0	16	108.75
GVT0	20	106.55
GVT0	24	104.34
GVT0	0	0
GVT0	2	2.080309627
GVT0	4	12.24963716
GVT0	6	30.14
GVT0	8	48.27
GVT0	12	80.45
GVT0	16	109.48
GVT0	20	107.29
GVT0	24	105.10
GBT0	0	0
GBT0	2	5.440953823
GBT0	4	34.21177139
GBT0	6	62.98
GBT0	8	81.45
GBT0	12	99.92
GBT0	16	102.24
GBT0	20	104.56
GBT0	24	105.61
GBT0	0	0
GBT0	2	5.348339689
GBT0	4	21.40266022
GBT0	6	47.19
GBT0	8	72.98
GBT0	12	89.66
GBT0	16	106.33
GBT0	20	107.37
GBT0	24	108.40
GBT0	0	0
GBT0	2	5.299539171
GBT0	4	33.32258065
GBT0	6	61.35
GBT0	8	79.34
GBT0	12	97.33
GBT0	16	99.59
GBT0	20	101.84
GBT0	24	102.87
PVT0	0	0
PVT0	2	27.50967986
PVT0	4	46.53886108
PVT0	6	65.57
PVT0	8	71.65
PVT0	12	77.74
PVT0	16	89.14
PVT0	20	100.54
PVT0	24	104.58
PVT0	0	0
PVT0	2	27.92101984
PVT0	4	48.11655324
PVT0	6	58.13
PVT0	8	68.14
PVT0	12	81.14
PVT0	16	94.13
PVT0	20	98.23
PVT0	24	102.33
PVT0	0	0
PVT0	2	28.172147
PVT0	4	47.65957447
PVT0	6	67.15
PVT0	8	73.38
PVT0	12	79.61
PVT0	16	91.29
PVT0	20	102.96
PVT0	24	107.09
EXT0	0	0
EXT0	2	5.807200929
EXT0	4	29.3554007
EXT0	6	52.90
EXT0	8	77.62
EXT0	12	102.34
EXT0	16	104.13
EXT0	20	105.91
EXT0	24	106.80
EXT0	0	0
EXT0	2	5.749329245
EXT0	4	28.99578383
EXT0	6	50.51
EXT0	8	72.03
EXT0	12	86.28
EXT0	16	100.53
EXT0	20	101.41
EXT0	24	102.29
EXT0	0	0
EXT0	2	5.714285714
EXT0	4	28.81904762
EXT0	6	50.20
EXT0	8	71.59
EXT0	12	85.75
EXT0	16	99.91
EXT0	20	100.79
EXT0	24	101.67
PQT0	0	0
PQT0	2	66.85403963
PQT0	4	81.62157012
PQT0	6	96.39
PQT0	8	100.48
PQT0	12	104.56
PQT0	16	106.19
PQT0	20	107.81
PQT0	24	108.21
PQT0	0	0
PQT0	2	68.37848373
PQT0	4	91.37595011
PQT0	6	96.94
PQT0	8	102.50
PQT0	12	105.20
PQT0	16	107.90
PQT0	20	108.31
PQT0	24	108.71
PQT0	0	0
PQT0	2	67.79710145
PQT0	4	90.59903382
PQT0	6	96.12
PQT0	8	101.63
PQT0	12	104.31
PQT0	16	106.99
PQT0	20	107.39
PQT0	24	107.79
