ESP	EP	RESP
MBET	0	0
MBET	1	25.88952231
MBET	2	51.77904462
MBET	3	73.56005504
MBET	4	90.10222135
MBET	6	100.815805
MBET	8	104.9636328
MBET	12	105.3961077
MBET	16	102.3687832
MBET	0	0
MBET	1	27.63978134
MBET	2	56.55509734
MBET	3	78.45976791
MBET	4	94.16898437
MBET	6	102.6853361
MBET	8	107.5956651
MBET	12	105.955692
MBET	16	102.1386784
MBET	0	0
MBET	1	28.29030687
MBET	2	51.82659523
MBET	3	76.64880662
MBET	4	95.8402338
MBET	6	104.4325377
MBET	8	104.1305407
MBET	12	108.1734048
MBET	16	104.8806624
MRET	0	0
MRET	1	4.683663834
MRET	2	33.43720491
MRET	3	76.41170916
MRET	4	96.68555241
MRET	6	106.9216242
MRET	8	110.1794145
MRET	12	110.8498584
MRET	16	109.631728
MRET	0	0
MRET	1	5.073954354
MRET	2	37.9860907
MRET	3	76.39337839
MRET	4	95.7292585
MRET	6	106.396317
MRET	8	110.2066804
MRET	12	110.0107748
MRET	16	109.2173572
MRET	0	0
MRET	1	4.711275849
MRET	2	37.19274288
MRET	3	75.12680453
MRET	4	94.61568474
MRET	6	104.6429965
MRET	8	108.2618026
MRET	12	111.8220835
MRET	16	110.5247757
QTET	0	0
QTET	1	61.89953061
QTET	2	87.84580046
QTET	3	95.47588135
QTET	4	99.21102567
QTET	6	101.9274943
QTET	8	103.8849496
QTET	12	103.2757415
QTET	16	97.96264856
QTET	0	0
QTET	1	59.06976744
QTET	2	88.37209302
QTET	3	96.98149027
QTET	4	99.88609397
QTET	6	98.6236355
QTET	8	104.3569056
QTET	12	103.9392501
QTET	16	98.87043189
QTET	0	0
QTET	1	61.80817154
QTET	2	88.42847484
QTET	3	95.19945909
QTET	4	102.8880518
QTET	6	99.49773013
QTET	8	103.3613445
QTET	12	102.4051
QTET	16	98.5511446
AGET	0	0
AGET	1	3.610427939
AGET	2	13.26119036
AGET	3	36.81259223
AGET	4	77.00934579
AGET	6	105.1746188
AGET	8	112.5627152
AGET	12	113.7432366
AGET	16	112.356124
AGET	0	0
AGET	1	3.85759524
AGET	2	15.53593705
AGET	3	42.73102389
AGET	4	82.34334517
AGET	6	105.8343729
AGET	8	111.4288456
AGET	12	113.1561271
AGET	16	110.689953
AGET	0	0
AGET	1	3.702603703
AGET	2	13.83031383
AGET	3	38.64963865
AGET	4	82.67498267
AGET	6	105.6331056
AGET	8	112.3255123
AGET	12	115.3648154
AGET	16	114.0778141
CMET	0	0
CMET	1	7.338017174
CMET	2	23.27283372
CMET	3	43.735363
CMET	4	68.35480094
CMET	6	108.0015613
CMET	8	117.1838407
CMET	12	118.832943
CMET	16	116.5886027
CMET	0	0
CMET	1	8.21034112
CMET	2	22.18746946
CMET	3	44.66816538
CMET	4	72.05551754
CMET	6	108.5817613
CMET	8	116.9289415
CMET	12	118.4537191
CMET	16	114.8763562
CMET	0	0
CMET	1	8.687995304
CMET	2	23.39301438
CMET	3	45.98375893
CMET	4	73.39790627
CMET	6	109.8620487
CMET	8	118.3641522
CMET	12	121.1427453
CMET	16	117.6010175
CPET	0	0
CPET	1	26.69241912
CPET	2	76.25301787
CPET	3	96.95799131
CPET	4	106.1805891
CPET	6	110.8836311
CPET	8	112.805408
CPET	12	112.7281507
CPET	16	110.3235152
CPET	0	0
CPET	1	21.08371613
CPET	2	73.91019031
CPET	3	98.68754101
CPET	4	107.1904003
CPET	6	111.6715103
CPET	8	112.9652198
CPET	12	113.2652105
CPET	16	109.75907
CPET	0	0
CPET	1	27.25771995
CPET	2	76.97611187
CPET	3	98.60167023
CPET	4	106.0788503
CPET	6	110.6137114
CPET	8	113.3521072
CPET	12	114.6436201
CPET	16	114.0706933
PPET	0	0
PPET	1	2.877062058
PPET	2	9.730950511
PPET	3	29.21249018
PPET	4	58.1598586
PPET	6	99.9214454
PPET	8	109.9175177
PPET	12	112.8240377
PPET	16	108.4249804
PPET	0	0
PPET	1	2.665121669
PPET	2	11.58748552
PPET	3	29.26805716
PPET	4	63.05523368
PPET	6	104.7122441
PPET	8	113.4801081
PPET	12	113.5477018
PPET	16	109.2506759
PPET	0	0
PPET	1	2.309359977
PPET	2	9.96323876
PPET	3	29.72004901
PPET	4	57.92251862
PPET	6	105.6555755
PPET	8	111.6976152
PPET	12	112.7721746
PPET	16	108.5116411
CVET	0	0
CVET	1	59.06300179
CVET	2	94.8521772
CVET	3	106.517427
CVET	4	110.7395863
CVET	6	113.9038443
CVET	8	116.4919241
CVET	12	115.0750921
CVET	16	108.0098234
CVET	0	0
CVET	1	65.91978912
CVET	2	95.48107701
CVET	3	106.7595556
CVET	4	111.1372623
CVET	6	113.5379401
CVET	8	115.9762757
CVET	12	114.6676709
CVET	16	105.3473922
CVET	0	0
CVET	1	59.44726452
CVET	2	94.87685655
CVET	3	106.7023877
CVET	4	109.9266779
CVET	6	111.5623237
CVET	8	114.6362098
CVET	12	115.3600301
CVET	16	112.8783606
