"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","PPEV","AGEV",-5.48631281508853e-15,0.641070750628804,137,-8.55804575346356e-15,0.999999999999993,"NS"
"1","PPEV","AGEV",3.46441459203546,0.641070750628803,137,5.40410647130186,2.8063049718382e-07,"*"
"2","PPEV","AGEV",7.98103393984565,0.641070750628803,137,12.4495368600382,2.85202067233008e-24,"*"
"3","PPEV","AGEV",10.4777589032235,0.641070750628803,137,16.3441537348977,5.49113260733145e-34,"*"
"4","PPEV","AGEV",21.9781685176254,0.641070750628803,137,34.283530321837,4.31602576339139e-69,"*"
"6","PPEV","AGEV",3.69746963344458,0.641070750628803,137,5.76764675321385,5.11033988903944e-08,"*"
"8","PPEV","AGEV",-0.642080713460273,0.641070750628803,137,-1.00157543115246,0.318314446646812,"*"
"12","PPEV","AGEV",1.05348722057401,0.641070750628803,137,1.64332442174391,0.102608932520717,"*"
"16","PPEV","AGEV",2.65437698412248,0.641070750628803,137,4.14053672160039,6.02448865617524e-05,"*"
"0","PPEV","CMEV",-4.50431960375764e-15,0.641070750628804,137,-7.02624413816964e-15,0.999999999999994,"NS"
"1","PPEV","CMEV",6.92431243196737,0.641070750628803,137,10.8011673051306,4.69177669799451e-20,"*"
"2","PPEV","CMEV",18.258292783983,0.641070750628803,137,28.4809325118548,2.06540600030348e-59,"*"
"3","PPEV","CMEV",33.3827958113949,0.641070750628803,137,52.0734970027114,3.68063532630394e-92,"*"
"4","PPEV","CMEV",35.4000763158999,0.641070750628803,137,55.2202331508297,1.70865389647721e-95,"*"
"6","PPEV","CMEV",17.3868231248263,0.641070750628803,137,27.1215355056711,6.15988742887345e-57,"*"
"8","PPEV","CMEV",6.90096091731802,0.641070750628803,137,10.7647415055969,5.8126984129481e-20,"*"
"12","PPEV","CMEV",8.54965646919484,0.641070750628803,137,13.3365255875561,1.57930487185509e-26,"*"
"16","PPEV","CMEV",6.8472458668773,0.641070750628803,137,10.6809519232644,9.51294368237725e-20,"*"
"0","PPEV","CPEV",1.1681660531663e-15,0.641070750628803,137,1.82221081217711e-15,0.999999999999999,"NS"
"1","PPEV","CPEV",19.4637235593245,0.641070750628803,137,30.3612722000391,1.06616532359237e-62,"*"
"2","PPEV","CPEV",60.064930643036,0.641070750628803,137,93.6946984153005,4.12879713287806e-126,"*"
"3","PPEV","CPEV",73.972630016789,0.641070750628803,137,115.38918277621,2.39431476781286e-138,"*"
"4","PPEV","CPEV",57.6546690705904,0.641070750628803,137,89.9349549391218,1.03242816634857e-123,"*"
"6","PPEV","CPEV",15.861414336676,0.641070750628803,137,24.7420652418132,2.15058283074922e-52,"*"
"8","PPEV","CPEV",2.02293882235175,0.641070750628803,137,3.15556250284001,0.00196974248129005,"*"
"12","PPEV","CPEV",2.29068126084458,0.641070750628803,137,3.57321131653212,0.000487389740462187,"*"
"16","PPEV","CPEV",2.84790866902979,0.641070750628803,137,4.44242490588812,1.81845857807351e-05,"*"
"0","PPEV","CVEV",1.18820345281066e-15,0.641070750628804,137,1.8534669560968e-15,0.999999999999998,"NS"
"1","PPEV","CVEV",50.6867975309636,0.641070750628803,137,79.0658402075695,3.41501926274413e-116,"*"
"2","PPEV","CVEV",81.933545209126,0.641070750628803,137,127.80733659859,2.25592111479982e-144,"*"
"3","PPEV","CVEV",80.7550612560514,0.641070750628804,137,125.969030995162,1.61475321609285e-143,"*"
"4","PPEV","CVEV",58.2303700168632,0.641070750628803,137,90.8329852200355,2.70630324567578e-124,"*"
"6","PPEV","CVEV",14.3542890611009,0.641070750628803,137,22.391115250573,1.2666626228159e-47,"*"
