"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","CMEV","AGEV",2.53052580805393e-15,0.641070750629411,137,3.94734248219784e-15,0.999999999999997,"NS"
"1","CMEV","AGEV",-3.45989783993193,0.641070750629411,137,-5.39706083382367,2.89863444721111e-07,"*"
"2","CMEV","AGEV",-10.2772588441374,0.641070750629411,137,-16.0313956518015,3.14310134989484e-33,"*"
"3","CMEV","AGEV",-22.9050369081715,0.641070750629411,137,-35.7293432677799,2.64773819425848e-71,"*"
"4","CMEV","AGEV",-13.4219077982746,0.641070750629411,137,-20.9367028289729,1.58895781760141e-44,"*"
"6","CMEV","AGEV",-13.6893534913817,0.641070750629411,137,-21.353888752437,1.99795501496449e-45,"*"
"8","CMEV","AGEV",-7.54304163077831,0.641070750629411,137,-11.7663169367382,1.59207383723682e-22,"*"
"12","CMEV","AGEV",-7.49616924862086,0.641070750629411,137,-11.6932011658012,2.44968292708671e-22,"*"
"16","CMEV","AGEV",-4.1928688827548,0.641070750629411,137,-6.54041520165784,1.12491811365387e-09,"*"
"0","CMEV","CPEV",1.22121174788659e-14,0.641070750629411,137,1.90495627305971e-14,0.999999999999985,"NS"
"1","CMEV","CPEV",12.5394111273571,0.641070750629411,137,19.5601048948899,1.73896963150784e-41,"*"
"2","CMEV","CPEV",41.806637859053,0.641070750629411,137,65.2137659033838,4.9799742971544e-105,"*"
"3","CMEV","CPEV",40.589834205394,0.641070750629411,137,63.3156857734383,2.50390967806078e-103,"*"
"4","CMEV","CPEV",22.2545927546905,0.641070750629411,137,34.7147217882592,9.28205889815693e-70,"*"
"6","CMEV","CPEV",-1.52540878815027,0.641070750629411,137,-2.37947026385559,0.0187159104960609,"*"
"8","CMEV","CPEV",-4.87802209496626,0.641070750629411,137,-7.60917900274963,4.00457898524003e-12,"*"
"12","CMEV","CPEV",-6.25897520835027,0.641070750629411,137,-9.76331427101476,2.04166915392929e-17,"*"
"16","CMEV","CPEV",-3.99933719784752,0.641070750629411,137,-6.23852701737043,5.14488323100526e-09,"*"
"0","CMEV","CVEV",7.66311279863078e-15,0.641070750629411,137,1.1953614778255e-14,0.99999999999999,"NS"
"1","CMEV","CVEV",43.7624850989962,0.641070750629411,137,68.2646729023742,1.14159958923744e-107,"*"
"2","CMEV","CVEV",63.675252425143,0.641070750629411,137,99.3264040866407,1.55942131198832e-129,"*"
"3","CMEV","CVEV",47.3722654446564,0.641070750629411,137,73.8955339923803,2.92137378664344e-112,"*"
"4","CMEV","CVEV",22.8302937009632,0.641070750629411,137,35.612752069172,3.96806476893261e-71,"*"
"6","CMEV","CVEV",-3.03253406372541,0.641070750629411,137,-4.73042025509358,5.50715475090017e-06,"*"
"8","CMEV","CVEV",-6.45043398756929,0.641070750629411,137,-10.0619689499734,3.58042580932995e-18,"*"
"12","CMEV","CVEV",-9.27754141005484,0.641070750629411,137,-14.4719461946221,2.19345584243301e-29,"*"
"16","CMEV","CVEV",-7.42062902334365,0.641070750629411,137,-11.5753667064953,4.90622033357242e-22,"*"
"0","CMEV","MBEV",-1.06585453245268e-14,0.641070750629411,137,-1.66261607070079e-14,0.999999999999987,"NS"
"1","CMEV","MBEV",21.1002384831327,0.641070750629411,137,32.91405583926,6.30655478760107e-67,"*"
"2","CMEV","MBEV",34.0098653227095,0.641070750629411,137,53.0516566062609,3.24043344792932e-93,"*"
"3","CMEV","MBEV",22.875778007611,0.641070750629411,137,35.6837025946845,3.1017060448192e-71,"*"
"4","CMEV","MBEV",11.037075784192,0.641070750629411,137,17.216626672416,4.48214912593857e-36,"*"
"6","CMEV","MBEV",-16.1158451058912,0.641070750629411,137,-25.1389493126436,3.59260292037609e-53,"*"
"8","CMEV","MBEV",-11.9723057491216,0.641070750629411,137,-18.6754827565709,1.77070493238249e-39,"*"
"12","CMEV","MBEV",-8.39952484097901,0.641070750629411,137,-13.1023367276268,6.20297544704276e-26,"*"
"16","CMEV","MBEV",-10.3606292302931,0.641070750629411,137,-16.161444302553,1.51959932311671e-33,"*"
"0","CMEV","MREV",9.96397577053221e-15,0.641070750629411,137,1.55427084463758e-14,0.999999999999988,"NS"
"1","CMEV","MREV",2.30945260722234,0.641070750629411,137,3.60249255632844,0.000439882186429099,"*"
"2","CMEV","MREV",25.0973916664661,0.641070750629411,137,39.1491760337298,2.92734154111716e-76,"*"
"3","CMEV","MREV",35.0803215079907,0.641070750629411,137,54.7214507502463,5.61401946336831e-95,"*"
"4","CMEV","MREV",17.1531104366443,0.641070750629411,137,26.7569693669586,2.93640193457541e-56,"*"
"6","CMEV","MREV",-7.19248566150161,0.641070750629411,137,-11.2194881055483,3.99640324667626e-21,"*"
"8","CMEV","MREV",-10.3415963437346,0.641070750629411,137,-16.1317550887809,1.79355250545634e-33,"*"
"12","CMEV","MREV",-10.2434216080019,0.641070750629411,137,-15.9786132777775,4.22367544150493e-33,"*"
"16","CMEV","MREV",-8.99306172562188,0.641070750629411,137,-14.0281891145281,2.83662363018419e-28,"*"
"0","CMEV","PPEV",1.31440906731499e-14,0.641070750629411,137,2.0503338610044e-14,0.999999999999984,"NS"
"1","CMEV","PPEV",-6.92431243196738,0.641070750629411,137,-10.8011673051204,4.69177669827684e-20,"*"
"2","CMEV","PPEV",-18.2582927839831,0.641070750629411,137,-28.4809325118279,2.06540600053269e-59,"*"
"3","CMEV","PPEV",-33.382795811395,0.641070750629411,137,-52.0734970026621,3.68063532675884e-92,"*"
"4","CMEV","PPEV",-35.4000763159,0.641070750629411,137,-55.2202331507774,1.70865389668936e-95,"*"
"6","CMEV","PPEV",-17.3868231248263,0.641070750629411,137,-27.1215355056454,6.15988742954891e-57,"*"
"8","CMEV","PPEV",-6.90096091731803,0.641070750629411,137,-10.7647415055867,5.81269841329673e-20,"*"
"12","CMEV","PPEV",-8.54965646919485,0.641070750629411,137,-13.3365255875435,1.57930487197145e-26,"*"
"16","CMEV","PPEV",-6.84724586687727,0.641070750629411,137,-10.6809519232543,9.5129436829455e-20,"*"
"0","CMEV","QTEV",1.50305566037069e-14,0.641070750629411,137,2.3446018382448e-14,0.999999999999981,"NS"
"1","CMEV","QTEV",54.1163449991682,0.641070750629411,137,84.4155577930145,5.19789964842721e-120,"*"
"2","CMEV","QTEV",61.4481544951645,0.641070750629411,137,95.8523757866568,1.91159319680387e-127,"*"
"3","CMEV","QTEV",40.8197234516044,0.641070750629411,137,63.6742877623525,1.18454609302247e-103,"*"
"4","CMEV","QTEV",15.9487741256497,0.641070750629411,137,24.8783369230167,1.16097795829266e-52,"*"
"6","CMEV","QTEV",-12.6680356656437,0.641070750629411,137,-19.7607450553719,6.17804520364763e-42,"*"
"8","CMEV","QTEV",-14.9312259359728,0.641070750629411,137,-23.2910734444102,1.74748427732759e-49,"*"
"12","CMEV","QTEV",-14.6438044421078,0.641070750629411,137,-22.8427274645277,1.45806486531641e-48,"*"
"16","CMEV","QTEV",-13.1322121159639,0.641070750629411,137,-20.4848093647551,1.53924479938147e-43,"*"
