ID,TEMPOS,TRATAMENTO EM EVIDENCIA,TRATAMENTO COMPARADO,VALUE,STD.ERROR,DF,T.VALUE,P.VALUE,SIGN.
1,0,GVSB,EXSB,-3.3177167732968e-15,1.51216304178673,103,-2.19402053985969e-15,0.999999999999998,NS
2,2,GVSB,EXSB,1.23311214667127,1.51216304178673,103,0.815462428716855,0.416689370142542,*
3,4,GVSB,EXSB,-1.57521179313152,1.51216304178673,103,-1.041694413633,0.299992308715513,*
4,6,GVSB,EXSB,-7.55970300932471,1.51216304178673,103,-4.99926449755866,2.36912967531056e-06,*
5,8,GVSB,EXSB,-1.92141666186018,1.51216304178673,103,-1.2706411998999,0.206718813265026,*
6,12,GVSB,EXSB,-6.51863050948514,1.51216304178673,103,-4.31079872298883,3.73242754949852e-05,*
7,16,GVSB,EXSB,-8.91301921977444,1.51216304178673,103,-5.89421839674316,4.80055103503233e-08,*
8,20,GVSB,EXSB,-4.27436779032555,1.51216304178673,103,-2.82665802047051,0.00565145713701223,*
9,24,GVSB,EXSB,-8.13174950701212,1.51216304178673,103,-5.37756133584899,4.74015491051408e-07,*
10,0,GVSB,GBSB,1.28919167692225e-14,1.51216304178673,103,8.52548066112618e-15,0.999999999999993,NS
11,2,GVSB,GBSB,3.63395604923076,1.51216304178673,103,2.40315094921047,0.0180431718182779,*
12,4,GVSB,GBSB,21.2246928762035,1.51216304178673,103,14.0359817623403,1.18133313223229e-25,*
13,6,GVSB,GBSB,30.5451078166803,1.51216304178673,103,20.1996127220442,1.31426166558979e-37,*
14,8,GVSB,GBSB,32.2894171812374,1.51216304178673,103,21.3531320955213,1.28506381482569e-39,*
15,12,GVSB,GBSB,17.6261243078322,1.51216304178673,103,11.6562327082176,1.58456369547915e-20,*
16,16,GVSB,GBSB,1.76976576860364,1.51216304178673,103,1.17035380425151,0.244559409634702,*
17,20,GVSB,GBSB,8.27436846573538,1.51216304178673,103,5.47187587388633,3.14438782652443e-07,*
18,24,GVSB,GBSB,-2.58762315765529,1.51216304178673,103,-1.71120645469408,0.0900529479551057,*
19,0,GVSB,PASB,4.8650420146526e-14,1.51216304178673,103,3.21727345544975e-14,0.999999999999974,NS
20,2,GVSB,PASB,16.0409207686255,1.51216304178673,103,10.607930709424,3.29258332225588e-18,*
21,4,GVSB,PASB,43.56973867277,1.51216304178673,103,28.8128577863463,4.23868836004081e-51,*
22,6,GVSB,PASB,45.3163672288796,1.51216304178673,103,29.9679108512896,1.13407656427869e-52,*
23,8,GVSB,PASB,44.7580963579194,1.51216304178673,103,29.5987238949012,3.56449930358448e-52,*
24,12,GVSB,PASB,20.6479158210657,1.51216304178673,103,13.6545565858221,7.55153644260369e-25,*
25,16,GVSB,PASB,9.18549137571184,1.51216304178673,103,6.07440541917922,2.11229297590393e-08,*
26,20,GVSB,PASB,8.56991327652188,1.51216304178673,103,5.66732094337917,1.32847406517555e-07,*
27,24,GVSB,PASB,4.34401497007462,1.51216304178673,103,2.87271600352159,0.00494248810335859,*
28,0,GVSB,PQSB,6.72035206785877e-15,1.51216304178673,103,4.44419806737122e-15,0.999999999999996,NS
29,2,GVSB,PQSB,44.2210871085857,1.51216304178673,103,29.2435973414185,1.0841018475793e-51,*
30,4,GVSB,PQSB,65.8039345740099,1.51216304178673,103,43.5164282921886,3.99006378265645e-68,*
31,6,GVSB,PQSB,57.1955226735478,1.51216304178673,103,37.8236480412636,3.2047722474394e-62,*
32,8,GVSB,PQSB,50.7061230986021,1.51216304178673,103,33.5321798624897,3.0997353379909e-57,*
33,12,GVSB,PQSB,24.1198634015775,1.51216304178673,103,15.9505706296579,1.37715953906032e-29,*
34,16,GVSB,PQSB,6.22735893699843,1.51216304178673,103,4.11817956457946,7.72409508094711e-05,*
35,20,GVSB,PQSB,6.92584526463646,1.51216304178673,103,4.58009161264322,1.30582864462942e-05,*
36,24,GVSB,PQSB,0.686275155904948,1.51216304178673,103,0.453836747057423,0.65090115053019,NS
37,0,GVSB,PVSB,4.82918983067185e-15,1.51216304178673,103,3.19356425016565e-15,0.999999999999997,NS
38,2,GVSB,PVSB,15.8824937671735,1.51216304178673,103,10.5031622439384,5.62658400296254e-18,*
39,4,GVSB,PVSB,24.4141711197545,1.51216304178673,103,16.1451976044246,5.62338968274987e-30,*
40,6,GVSB,PVSB,12.8552509386134,1.51216304178673,103,8.50123338778601,1.55303884920702e-13,*
41,8,GVSB,PVSB,6.88901549870844,1.51216304178673,103,4.55573592816326,1.43816948048181e-05,*
42,12,GVSB,PVSB,-10.948794134119,1.51216304178673,103,-7.24048520666279,8.32762751097334e-11,*
43,16,GVSB,PVSB,-17.102433482344,1.51216304178673,103,-11.3099136863815,9.18073023287692e-20,*
44,20,GVSB,PVSB,-9.66017420291102,1.51216304178673,103,-6.38831523847907,4.93151691325358e-09,*
45,24,GVSB,PVSB,-15.5589592076441,1.51216304178673,103,-10.2892074317992,1.68197974699897e-17,*
46,0,PVSB,EXSB,-1.82448375937569e-14,1.51216304178686,103,-1.20653904966476e-14,0.99999999999999,NS
47,2,PVSB,EXSB,-14.6493816205022,1.51216304178686,103,-9.68769981522073,3.66316727871706e-16,*
48,4,PVSB,EXSB,-25.989382912886,1.51216304178686,103,-17.1868920180561,5.04972578900894e-32,*
49,6,PVSB,EXSB,-20.4149539479381,1.51216304178686,103,-13.5004978853435,1.60463077470235e-24,*
50,8,PVSB,EXSB,-8.81043216056863,1.51216304178686,103,-5.82637712806266,6.52070954505633e-08,*
51,12,PVSB,EXSB,4.43016362463391,1.51216304178686,103,2.92968648367372,0.00417867695912011,*
52,16,PVSB,EXSB,8.18941426256952,1.51216304178686,103,5.41569528963784,4.0170248831134e-07,*
53,20,PVSB,EXSB,5.38580641258548,1.51216304178686,103,3.56165721800825,0.000559650163999142,*
54,24,PVSB,EXSB,7.42720970063198,1.51216304178686,103,4.91164609594978,3.40826208771887e-06,*
55,0,PVSB,GBSB,-1.66191282155327e-14,1.51216304178686,103,-1.0990301810243e-14,0.999999999999991,NS
56,2,PVSB,GBSB,-12.2485377179427,1.51216304178686,103,-8.10001129472726,1.17423158408157e-12,*
57,4,PVSB,GBSB,-3.189478243551,1.51216304178686,103,-2.10921584208414,0.0373500544230077,*
58,6,PVSB,GBSB,17.6898568780669,1.51216304178686,103,11.6983793342572,1.28020827023207e-20,*
59,8,PVSB,GBSB,25.4004016825289,1.51216304178686,103,16.7973961673566,2.89451208257137e-31,*
60,12,PVSB,GBSB,28.5749184419513,1.51216304178686,103,18.8967179148787,2.97320923913054e-35,*
61,16,PVSB,GBSB,18.8721992509476,1.51216304178686,103,12.4802674906319,2.507045529972e-22,*
62,20,PVSB,GBSB,17.9345426686464,1.51216304178686,103,11.8601911123644,5.65121894589395e-21,*
63,24,PVSB,GBSB,12.9713360499888,1.51216304178686,103,8.57800097710436,1.0527024511645e-13,*
64,0,PVSB,GVSB,-2.25820043835849e-14,1.51216304178686,103,-1.49335777687707e-14,0.999999999999988,NS
65,2,PVSB,GVSB,-15.8824937671735,1.51216304178686,103,-10.5031622439375,5.62658400298883e-18,*
66,4,PVSB,GVSB,-24.4141711197545,1.51216304178686,103,-16.1451976044232,5.62338968278588e-30,*
67,6,PVSB,GVSB,-12.8552509386134,1.51216304178686,103,-8.50123338778525,1.55303884921297e-13,*
68,8,PVSB,GVSB,-6.88901549870844,1.51216304178686,103,-4.55573592816286,1.43816948048409e-05,*
69,12,PVSB,GVSB,10.948794134119,1.51216304178686,103,7.24048520666216,8.32762751099918e-11,*
70,16,PVSB,GVSB,17.102433482344,1.51216304178686,103,11.3099136863805,9.18073023292339e-20,*
71,20,PVSB,GVSB,9.66017420291102,1.51216304178686,103,6.38831523847851,4.93151691326645e-09,*
72,24,PVSB,GVSB,15.5589592076441,1.51216304178686,103,10.2892074317983,1.68197974700663e-17,*
73,0,PVSB,PASB,1.66787490783492e-13,1.51216304178686,103,1.10297293462751e-13,0.999999999999912,NS
74,2,PVSB,PASB,0.158427001451974,1.51216304178686,103,0.104768465485552,0.916763281168297,NS
75,4,PVSB,PASB,19.1555675530154,1.51216304178686,103,12.6676601819207,9.8404373210921e-23,*
76,6,PVSB,PASB,32.4611162902662,1.51216304178686,103,21.4666774635017,8.21872811507952e-40,*
77,8,PVSB,PASB,37.869080859211,1.51216304178686,103,25.0429879667358,1.32485145619544e-45,*
78,12,PVSB,PASB,31.5967099551848,1.51216304178686,103,20.8950417924831,7.92114500405643e-39,*
79,16,PVSB,PASB,26.2879248580558,1.51216304178686,103,17.3843191055592,2.09938193741577e-32,*
80,20,PVSB,PASB,18.2300874794329,1.51216304178686,103,12.0556361818572,2.10996542982536e-21,*
81,24,PVSB,PASB,19.9029741777187,1.51216304178686,103,13.1619234353197,8.48255313337695e-24,*
