"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","EXSB","GBSB",1.42022662378965e-15,1.51216304178667,103,9.39202046699677e-16,0.999999999999999,"NS"
"2","EXSB","GBSB",2.40084390255948,1.51216304178667,103,1.58768852049366,0.115421970042196,"*"
"4","EXSB","GBSB",22.799904669335,1.51216304178667,103,15.0776761759738,8.10257092064898e-28,"*"
"6","EXSB","GBSB",38.104810826005,1.51216304178667,103,25.1988772196038,7.64114062316367e-46,"*"
"8","EXSB","GBSB",34.2108338430976,1.51216304178667,103,22.6237732954221,9.40803583695084e-42,"*"
"12","EXSB","GBSB",24.1447548173174,1.51216304178667,103,15.967031431207,1.27645561992434e-29,"*"
"16","EXSB","GBSB",10.6827849883781,1.51216304178667,103,7.06457220099494,1.96052300207211e-10,"*"
"20","EXSB","GBSB",12.5487362560609,1.51216304178667,103,8.29853389435716,4.32467644631094e-13,"*"
"24","EXSB","GBSB",5.54412634935683,1.51216304178667,103,3.66635488115505,0.000391149017491123,"*"
"0","EXSB","GVSB",9.12416212350598e-15,1.51216304178667,103,6.03384811780974e-15,0.999999999999995,"NS"
"2","EXSB","GVSB",-1.23311214667127,1.51216304178667,103,-0.815462428716881,0.416689370142527,"*"
"4","EXSB","GVSB",1.5752117931315,1.51216304178667,103,1.04169441363303,0.2999923087155,"*"
"6","EXSB","GVSB",7.5597030093247,1.51216304178667,103,4.99926449755883,2.3691296753088e-06,"*"
"8","EXSB","GVSB",1.92141666186017,1.51216304178667,103,1.27064119989995,0.20671881326501,"*"
"12","EXSB","GVSB",6.51863050948511,1.51216304178667,103,4.31079872298897,3.73242754949648e-05,"*"
"16","EXSB","GVSB",8.91301921977443,1.51216304178667,103,5.89421839674337,4.8005510350277e-08,"*"
"20","EXSB","GVSB",4.27436779032555,1.51216304178667,103,2.82665802047062,0.00565145713701049,"*"
"24","EXSB","GVSB",8.13174950701213,1.51216304178667,103,5.3775613358492,4.7401549105098e-07,"*"
"0","EXSB","PASB",2.59357925590771e-14,1.51216304178667,103,1.71514524838757e-14,0.999999999999986,"NS"
"2","EXSB","PASB",14.8078086219541,1.51216304178667,103,9.79246828070747,2.14202270424896e-16,"*"
"4","EXSB","PASB",45.1449504659015,1.51216304178667,103,29.8545521999804,1.61003387198997e-52,"*"
"6","EXSB","PASB",52.8760702382043,1.51216304178667,103,34.9671753488495,5.84537067420667e-59,"*"
"8","EXSB","PASB",46.6795130197796,1.51216304178667,103,30.8693650948023,7.25232376166854e-54,"*"
"12","EXSB","PASB",27.1665463305509,1.51216304178667,103,17.9653553088116,1.63208655979847e-33,"*"
"16","EXSB","PASB",18.0985105954863,1.51216304178667,103,11.9686238159228,3.27046921527447e-21,"*"
"20","EXSB","PASB",12.8442810668474,1.51216304178667,103,8.49397896385,1.61112536048853e-13,"*"
"24","EXSB","PASB",12.4757644770868,1.51216304178667,103,8.25027733937092,5.51538282990485e-13,"*"
"0","EXSB","PQSB",-1.32004830817586e-14,1.51216304178667,103,-8.72953690639191e-15,0.999999999999993,"NS"
"2","EXSB","PQSB",42.9879749619144,1.51216304178667,103,28.4281349127027,1.45214960543244e-50,"*"
"4","EXSB","PQSB",67.3791463671415,1.51216304178667,103,44.5581227058232,3.94154412867194e-69,"*"
"6","EXSB","PQSB",64.7552256828725,1.51216304178667,103,42.8229125388238,1.91571804069492e-67,"*"
"8","EXSB","PQSB",52.6275397604622,1.51216304178667,103,34.8028210623908,9.14685202621129e-59,"*"
"12","EXSB","PQSB",30.6384939110627,1.51216304178667,103,20.2613693526475,1.02170420555184e-37,"*"
"16","EXSB","PQSB",15.1403781567729,1.51216304178667,103,10.012397961323,6.94290506613705e-17,"*"
"20","EXSB","PQSB",11.200213054962,1.51216304178667,103,7.40674963311401,3.68668603428438e-11,"*"
"24","EXSB","PQSB",8.81802466291708,1.51216304178667,103,5.83139808290663,6.37492375195816e-08,"*"
"0","EXSB","PVSB",-1.44197781170562e-14,1.51216304178667,103,-9.53586201922958e-15,0.999999999999992,"NS"
"2","EXSB","PVSB",14.6493816205022,1.51216304178667,103,9.68769981522193,3.6631672786946e-16,"*"
"4","EXSB","PVSB",25.989382912886,1.51216304178667,103,17.1868920180582,5.04972578896077e-32,"*"
"6","EXSB","PVSB",20.4149539479381,1.51216304178667,103,13.5004978853452,1.60463077468921e-24,"*"
"8","EXSB","PVSB",8.81043216056861,1.51216304178667,103,5.82637712806337,6.52070954503547e-08,"*"
"12","EXSB","PVSB",-4.4301636246339,1.51216304178667,103,-2.92968648367408,0.00417867695911576,"*"
"16","EXSB","PVSB",-8.18941426256952,1.51216304178667,103,-5.4156952896385,4.01702488310176e-07,"*"
"20","EXSB","PVSB",-5.38580641258547,1.51216304178667,103,-3.56165721800868,0.000559650163998316,"*"
"24","EXSB","PVSB",-7.42720970063196,1.51216304178667,103,-4.91164609595038,3.40826208771047e-06,"*"
