"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","PASB","EXSB",1.37851507376377e-13,1.51216304178652,103,9.1161801715187e-14,0.999999999999927,"NS"
"2","PASB","EXSB",-14.8078086219541,1.51216304178653,103,-9.79246828070844,2.14202270423826e-16,"*"
"4","PASB","EXSB",-45.1449504659014,1.51216304178653,103,-29.8545521999834,1.61003387197543e-52,"*"
"6","PASB","EXSB",-52.8760702382043,1.51216304178653,103,-34.967175348853,5.8453706741518e-59,"*"
"8","PASB","EXSB",-46.6795130197796,1.51216304178653,103,-30.8693650948053,7.252323761602e-54,"*"
"12","PASB","EXSB",-27.1665463305508,1.51216304178652,103,-17.9653553088133,1.6320865597861e-33,"*"
"16","PASB","EXSB",-18.0985105954863,1.51216304178652,103,-11.968623815924,3.27046921525514e-21,"*"
"20","PASB","EXSB",-12.8442810668474,1.51216304178652,103,-8.49397896385083,1.61112536048173e-13,"*"
"24","PASB","EXSB",-12.4757644770868,1.51216304178652,103,-8.25027733937171,5.51538282988278e-13,"*"
"0","PASB","GBSB",1.44933060240307e-13,1.51216304178652,103,9.5844863440835e-14,0.999999999999924,"NS"
"2","PASB","GBSB",-12.4069647193947,1.51216304178652,103,-8.20477976021463,6.93519700246466e-13,"*"
"4","PASB","GBSB",-22.3450457965664,1.51216304178653,103,-14.7768760240081,3.37101112977594e-27,"*"
"6","PASB","GBSB",-14.7712594121993,1.51216304178652,103,-9.76829812924668,2.42431699137986e-16,"*"
"8","PASB","GBSB",-12.468679176682,1.51216304178653,103,-8.24559179938102,5.64709923784878e-13,"*"
"12","PASB","GBSB",-3.02179151323347,1.51216304178652,103,-1.99832387760477,0.0483171336339537,"*"
"16","PASB","GBSB",-7.41572560710821,1.51216304178652,103,-4.90405161492837,3.516824850995e-06,"*"
"20","PASB","GBSB",-0.295544810786506,1.51216304178652,103,-0.195445069492862,0.845429575840487,"NS"
"24","PASB","GBSB",-6.93163812772994,1.51216304178652,103,-4.58392245821631,1.28611614931232e-05,"*"
"0","PASB","GVSB",1.42807256659728e-13,1.51216304178653,103,9.44390602821572e-14,0.999999999999925,"NS"
"2","PASB","GVSB",-16.0409207686254,1.51216304178652,103,-10.6079307094254,3.29258332223295e-18,"*"
"4","PASB","GVSB",-43.5697386727699,1.51216304178653,103,-28.8128577863502,4.23868835998822e-51,"*"
"6","PASB","GVSB",-45.3163672288796,1.51216304178652,103,-29.9679108512936,1.1340765642645e-52,"*"
"8","PASB","GVSB",-44.7580963579194,1.51216304178653,103,-29.5987238949053,3.56449930353965e-52,"*"
"12","PASB","GVSB",-20.6479158210657,1.51216304178652,103,-13.6545565858239,7.55153644253675e-25,"*"
"16","PASB","GVSB",-9.18549137571184,1.51216304178652,103,-6.07440541918004,2.11229297589594e-08,"*"
"20","PASB","GVSB",-8.56991327652187,1.51216304178652,103,-5.66732094337993,1.32847406517104e-07,"*"
"24","PASB","GVSB",-4.34401497007465,1.51216304178652,103,-2.872716003522,0.00494248810335265,"*"
"0","PASB","PQSB",1.39699201588156e-13,1.51216304178652,103,9.23836899380309e-14,0.999999999999927,"NS"
"2","PASB","PQSB",28.1801663399603,1.51216304178652,103,18.635666631997,9.03667397914098e-35,"*"
"4","PASB","PQSB",22.23419590124,1.51216304178653,103,14.7035705058442,4.77918009072754e-27,"*"
"6","PASB","PQSB",11.8791554446682,1.51216304178653,103,7.85573718997503,3.98726585806946e-12,"*"
"8","PASB","PQSB",5.94802674068265,1.51216304178653,103,3.93345596758894,0.000152127792487946,"*"
"12","PASB","PQSB",3.47194758051187,1.51216304178652,103,2.29601404383616,0.0237005268927644,"*"
"16","PASB","PQSB",-2.95813243871341,1.51216304178652,103,-1.95622585460002,0.0531466214257654,"*"
"20","PASB","PQSB",-1.64406801188541,1.51216304178652,103,-1.08722933073609,0.27947317504941,"*"
"24","PASB","PQSB",-3.6577398141697,1.51216304178652,103,-2.41887925646451,0.0173225223122551,"*"
"0","PASB","PVSB",1.43386688815238e-13,1.51216304178652,103,9.48222412881056e-14,0.999999999999925,"NS"
"2","PASB","PVSB",-0.158427001451942,1.51216304178652,103,-0.104768465485554,0.916763281168295,"NS"
"4","PASB","PVSB",-19.1555675530154,1.51216304178652,103,-12.6676601819234,9.84043732095542e-23,"*"
"6","PASB","PVSB",-32.4611162902662,1.51216304178652,103,-21.4666774635065,8.21872811492503e-40,"*"
"8","PASB","PVSB",-37.869080859211,1.51216304178653,103,-25.0429879667414,1.32485145616931e-45,"*"
"12","PASB","PVSB",-31.5967099551847,1.51216304178653,103,-20.8950417924877,7.92114500391078e-39,"*"
"16","PASB","PVSB",-26.2879248580558,1.51216304178652,103,-17.384319105563,2.0993819373801e-32,"*"
"20","PASB","PVSB",-18.2300874794329,1.51216304178652,103,-12.0556361818599,2.10996542979693e-21,"*"
"24","PASB","PVSB",-19.9029741777187,1.51216304178652,103,-13.1619234353226,8.4825531332541e-24,"*"
