ESP	EP	RESP
MBEV	0	0
MBEV	1	30.20192308
MBEV	2	59.14423077
MBEV	3	80.24038462
MBEV	4	97.66346154
MBEV	6	102.2115385
MBEV	8	107.5769231
MBEV	12	110.1634615
MBEV	16	105.1057692
MBEV	0	0
MBEV	1	28.80231689
MBEV	2	59.31427504
MBEV	3	76.76569507
MBEV	4	96.19768311
MBEV	6	100.9715994
MBEV	8	107.4364723
MBEV	12	109.7533632
MBEV	16	104.8860239
MBEV	0	0
MBEV	1	29.3363714
MBEV	2	57.83727333
MBEV	3	78.03095035
MBEV	4	95.53783348
MBEV	6	97.00939903
MBEV	8	106.0096839
MBEV	12	110.7186936
MBEV	16	104.7374917
MREV	0	0
MREV	1	10.24208566
MREV	2	48.71116338
MREV	3	88.98363227
MREV	4	103.0873273
MREV	6	108.1054592
MREV	8	109.7324316
MREV	12	109.3893953
MREV	16	107.0763501
MREV	0	0
MREV	1	10.98558629
MREV	2	52.5029217
MREV	3	90.21231009
MREV	4	101.967277
MREV	6	106.7978185
MREV	8	107.8204129
MREV	12	108.0249318
MREV	16	106.3673549
MREV	0	0
MREV	1	10.35860456
MREV	2	52.76749172
MREV	3	91.91190801
MREV	4	101.9684272
MREV	6	106.3048139
MREV	8	108.2927305
MREV	12	108.0198792
MREV	16	105.8175794
QTEV	0	0
QTEV	1	63.91950168
QTEV	2	86.75610925
QTEV	3	95.97508385
QTEV	4	101.9166267
QTEV	6	103.7086727
QTEV	8	105.2515573
QTEV	12	104.8873982
QTEV	16	102.367034
QTEV	0	0
QTEV	1	61.73945854
QTEV	2	86.56730497
QTEV	3	94.98160551
QTEV	4	101.2734648
QTEV	6	102.4903311
QTEV	8	104.301481
QTEV	12	103.395906
QTEV	16	101.5941892
QTEV	0	0
QTEV	1	62.36696886
QTEV	2	85.27788727
QTEV	3	95.62475365
QTEV	4	100.4532913
QTEV	6	100.5222704
QTEV	8	103.0252266
QTEV	12	103.9712259
QTEV	16	103.0843516
AGEV	0	0
AGEV	1	4.261615863
AGEV	2	13.33727927
AGEV	3	31.00522837
AGEV	4	71.0762553
AGEV	6	105.0409391
AGEV	8	113.1893065
AGEV	12	115.7640328
AGEV	16	114.1067377
AGEV	0	0
AGEV	1	6.698847404
AGEV	2	18.04748301
AGEV	3	34.95222146
AGEV	4	74.62318983
AGEV	6	102.7879027
AGEV	8	110.964437
AGEV	12	110.3733622
AGEV	16	110.4324697
AGEV	0	0
AGEV	1	4.576989786
AGEV	2	16.79514357
AGEV	3	32.13528618
AGEV	4	71.65157063
AGEV	6	99.44112546
AGEV	8	110.6571594
AGEV	12	111.3027558
AGEV	16	111.3123916
CMEV	0	0
CMEV	1	7.846750727
CMEV	2	24.75266731
CMEV	3	54.86905917
CMEV	4	84.26770126
CMEV	6	115.3249273
CMEV	8	119.5732299
CMEV	12	119.5926285
CMEV	16	116.0523763
CMEV	0	0
CMEV	1	8.120402633
CMEV	2	25.57104142
CMEV	3	56.57181572
CMEV	4	86.21757646
CMEV	6	113.1823461
CMEV	8	118.0991096
CMEV	12	119.0572977
CMEV	16	115.2245451
CMEV	0	0
CMEV	1	8.765170487
CMEV	2	23.88749759
CMEV	3	53.97803891
CMEV	4	87.17973416
CMEV	6	116.1722212
CMEV	8	118.9077249
CMEV	12	117.886727
CMEV	16	114.8911578
CPEV	0	0
CPEV	1	20.38416307
CPEV	2	67.12073697
CPEV	3	96.1877695
CPEV	4	109.0650725
CPEV	6	112.3970992
CPEV	8	114.376715
CPEV	12	112.1324971
CPEV	16	111.3092905
CPEV	0	0
CPEV	1	21.20559742
CPEV	2	66.01428711
CPEV	3	94.735297
CPEV	4	106.605343
CPEV	6	112.5452588
CPEV	8	113.9739701
CPEV	12	112.6920442
CPEV	16	111.0578334
CPEV	0	0
CPEV	1	20.71023283
CPEV	2	66.06339268
CPEV	3	95.23576599
CPEV	4	107.9045197
CPEV	6	112.4046175
CPEV	8	113.3046371
CPEV	12	112.0817844
CPEV	16	111.4556838
PPEV	0	0
PPEV	1	1.416321418
PPEV	2	5.694190192
PPEV	3	20.48366895
PPEV	4	48.81009731
PPEV	6	95.74140091
PPEV	8	111.5618075
PPEV	12	110.4441661
PPEV	16	108.6617208
PPEV	0	0
PPEV	1	1.099328728
PPEV	2	6.498686643
PPEV	3	22.17141745
PPEV	4	53.59470766
PPEV	6	99.63031423
PPEV	8	111.6742874
PPEV	12	109.3394299
PPEV	16	108.0066154
PPEV	0	0
PPEV	1	1.217357157
PPEV	2	6.891812291
PPEV	3	22.69782054
PPEV	4	51.72786177
PPEV	6	99.93127823
PPEV	8	112.0459454
PPEV	12	111.1623797
PPEV	16	108.8062046
CVEV	0	0
CVEV	1	51.37849547
CVEV	2	88.7948011
CVEV	3	102.5994486
CVEV	4	107.4340291
CVEV	6	110.2107129
CVEV	8	111.3922804
CVEV	12	108.448208
CVEV	16	107.0204805
CVEV	0	0
CVEV	1	55.09941636
CVEV	2	88.8713028
CVEV	3	104.6691067
CVEV	4	109.3382135
CVEV	6	112.9686418
CVEV	8	113.6709862
CVEV	12	112.5927391
CVEV	16	109.9812049
CVEV	0	0
CVEV	1	51.94226485
CVEV	2	87.52300688
CVEV	3	101.2496367
CVEV	4	107.8078078
CVEV	6	111.7117117
CVEV	8	114.2206723
CVEV	12	110.4330137
CVEV	16	109.822726
