"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","MRSB","AGSB",2.61143604067302e-15,0.789200614334575,137,3.30896351731162e-15,0.999999999999997,"NS"
"1","MRSB","AGSB",1.19808871988945,0.789200614334575,137,1.5181041399716,0.131292427402409,"*"
"2","MRSB","AGSB",-7.19204148865198,0.789200614334574,137,-9.11307132561732,8.7553877503499e-16,"*"
"3","MRSB","AGSB",-40.3466681788763,0.789200614334575,137,-51.123462711563,4.05700739969144e-91,"*"
"4","MRSB","AGSB",-39.1004976822413,0.789200614334575,137,-49.5444339145749,2.39758836267973e-89,"*"
"6","MRSB","AGSB",-8.32774326386044,0.789200614334574,137,-10.5521246595609,2.02766408278646e-19,"*"
"8","MRSB","AGSB",1.29303495373677,0.789200614334575,137,1.63841098226591,0.103630627488249,"*"
"12","MRSB","AGSB",4.53527938569375,0.789200614334574,137,5.74667493070533,5.64757662271368e-08,"*"
"16","MRSB","AGSB",4.1918894757765,0.789200614334575,137,5.31156387823006,4.28471358284579e-07,"*"
"0","MRSB","CMSB",-3.02833308510991e-15,0.789200614334575,137,-3.83721582333446e-15,0.999999999999997,"NS"
"1","MRSB","CMSB",2.41140401151091,0.789200614334575,137,3.05550194426054,0.00270125759374481,"*"
"2","MRSB","CMSB",-6.94093892868743,0.789200614334574,137,-8.79489803050874,5.39654696653547e-15,"*"
"3","MRSB","CMSB",-40.4686394236663,0.789200614334575,137,-51.2780130788266,2.73819455767904e-91,"*"
"4","MRSB","CMSB",-32.8874005322374,0.789200614334575,137,-41.6717878000726,1.0889527345179e-79,"*"
"6","MRSB","CMSB",-6.88760242987078,0.789200614334575,137,-8.72731508917813,7.92483989409122e-15,"*"
"8","MRSB","CMSB",2.61991845691184,0.789200614334575,137,3.3197116288624,0.00115480485043686,"*"
"12","MRSB","CMSB",11.0608468104566,0.789200614334574,137,14.0152536751162,3.05710616773026e-28,"*"
"16","MRSB","CMSB",11.0781518615214,0.789200614334575,137,14.0371809908715,2.69281826258875e-28,"*"
"0","MRSB","CPSB",-6.1331051651149e-15,0.789200614334574,137,-7.77128787499249e-15,0.999999999999994,"NS"
"1","MRSB","CPSB",16.6607217425696,0.789200614334575,137,21.1108828857379,6.66768855440066e-45,"*"
"2","MRSB","CPSB",42.3766118547486,0.789200614334575,137,53.6956143787078,6.69029605161777e-94,"*"
"3","MRSB","CPSB",25.521488476248,0.789200614334575,137,32.3384042190169,5.37946557373885e-66,"*"
