"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","PPSB","AGSB",7.35154555385103e-15,0.789200614335307,137,9.31517971516377e-15,0.999999999999993,"NS"
"1","PPSB","AGSB",3.63259263209109,0.789200614335307,137,4.60287608259225,9.40400547563889e-06,"*"
"2","PPSB","AGSB",11.5489869072903,0.789200614335307,137,14.6337784050222,8.66012053070043e-30,"*"
"3","PPSB","AGSB",4.71027599035622,0.789200614335307,137,5.96841399359957,1.94296286215526e-08,"*"
"4","PPSB","AGSB",11.3601529303273,0.789200614335307,137,14.3945059392728,3.42463041691316e-29,"*"
"6","PPSB","AGSB",4.8464968104148,0.789200614335307,137,6.14102006813146,8.34140033987256e-09,"*"
"8","PPSB","AGSB",0.453369115127593,0.789200614335307,137,0.574466247101742,0.566594416296204,"NS"
"12","PPSB","AGSB",2.88566482522973,0.789200614335307,137,3.65644016592681,0.000363579239022298,"*"
"16","PPSB","AGSB",5.68438244304042,0.789200614335307,137,7.20270909549153,3.56665250931118e-11,"*"
"0","PPSB","CMSB",-9.17866447181771e-15,0.789200614335307,137,-1.16303311288579e-14,0.999999999999991,"NS"
"1","PPSB","CMSB",4.84590792371253,0.789200614335307,137,6.14027388687974,8.37217594469772e-09,"*"
"2","PPSB","CMSB",11.8000894672548,0.789200614335307,137,14.9519517001305,1.40284734650155e-30,"*"
"3","PPSB","CMSB",4.5883047455662,0.789200614335307,137,5.81386362633616,4.09703071532981e-08,"*"
"4","PPSB","CMSB",17.5732500803312,0.789200614335307,137,22.2671520537678,2.30295868610023e-47,"*"
"6","PPSB","CMSB",6.28663764440446,0.789200614335307,137,7.9658296385125,5.66686720690927e-13,"*"
"8","PPSB","CMSB",1.78025261830269,0.789200614335307,137,2.25576689369671,0.0256699177227106,"*"
"12","PPSB","CMSB",9.41123224999259,0.789200614335307,137,11.92501891033,6.24936417817781e-23,"*"
"16","PPSB","CMSB",12.5706448287853,0.789200614335307,137,15.9283262081248,5.59857796561184e-33,"*"
"0","PPSB","CPSB",5.82098569712894e-15,0.789200614335307,137,7.37579975407341e-15,0.999999999999994,"NS"
"1","PPSB","CPSB",19.0952256547712,0.789200614335306,137,24.1956548283403,2.60363324431198e-51,"*"
"2","PPSB","CPSB",61.1176402506909,0.789200614335307,137,77.4424641092891,5.50687413514276e-115,"*"
"3","PPSB","CPSB",70.5784326454805,0.789200614335307,137,89.4302809241021,2.20348662305013e-123,"*"
"4","PPSB","CPSB",66.4078129473421,0.789200614335307,137,84.1456680862738,7.9942698928059e-120,"*"
"6","PPSB","CPSB",19.6032791963369,0.789200614335307,137,24.8394119825255,1.38421556725778e-52,"*"
"8","PPSB","CPSB",3.58989363975166,0.789200614335307,137,4.54877197830769,1.17661153292965e-05,"*"
"12","PPSB","CPSB",0.54265751660022,0.789200614335307,137,0.687604022023304,0.492864636686019,"*"
"16","PPSB","CPSB",1.10422626769883,0.789200614335307,137,1.3991705627711,0.164021849483864,"*"
"0","PPSB","CVSB",4.65542495768424e-16,0.789200614335307,137,5.89891197893353e-16,1,"NS"
"1","PPSB","CVSB",50.1067867110481,0.789200614335307,137,63.4905571547861,1.73734588382363e-103,"*"
"2","PPSB","CVSB",84.5780136108741,0.789200614335307,137,107.169219175163,5.34965542922666e-134,"*"
"3","PPSB","CVSB",82.8540082149983,0.789200614335307,137,104.984723415074,8.68985218138692e-133,"*"
"4","PPSB","CVSB",70.3631528328135,0.789200614335307,137,89.1574988091918,3.32523736511468e-123,"*"
"6","PPSB","CVSB",17.0361057862256,0.789200614335307,137,21.5865338632231,6.34640576875584e-46,"*"
"8","PPSB","CVSB",4.51573448863968,0.789200614335307,137,5.72190949501857,6.35350529368251e-08,"*"
"12","PPSB","CVSB",1.5777166156399,0.789200614335307,137,1.99913252344425,0.0475723143209961,"*"
"16","PPSB","CVSB",2.40843093488154,0.789200614335307,137,3.05173474416262,0.0027331724968316,"*"
