"tempos","tratamento.evidencia","tratamentos.comparado","value","Std.Error","DF","t.value","p.value","significancia"
"0","CPSB","AGSB",1.16914593191709e-14,0.789200614348683,137,1.48143059022067e-14,0.999999999999988,"NS"
"1","CPSB","AGSB",-15.4626330226802,0.789200614348683,137,-19.5927787454161,1.46876010384202e-41,"*"
"2","CPSB","AGSB",-49.5686533434006,0.789200614348683,137,-62.8086857032023,7.26362068311955e-103,"*"
"3","CPSB","AGSB",-65.8681566551242,0.789200614348682,137,-83.461866929088,2.39352902343293e-119,"*"
"4","CPSB","AGSB",-55.0476600170148,0.789200614348683,137,-69.7511621458188,6.47753635022877e-109,"*"
"6","CPSB","AGSB",-14.7567823859221,0.789200614348683,137,-18.6983919140771,1.5689556529184e-39,"*"
"8","CPSB","AGSB",-3.13652452462404,0.789200614348683,137,-3.97430573113856,0.000113660490099372,"*"
"12","CPSB","AGSB",2.3430073086295,0.789200614348683,137,2.96883614385318,0.0035298521467106,"*"
"16","CPSB","AGSB",4.5801561753416,0.789200614348683,137,5.80353853262209,4.30475687959993e-08,"*"
"0","CPSB","CMSB",4.45376243077418e-15,0.789200614348683,137,5.64338439402992e-15,0.999999999999996,"NS"
"1","CPSB","CMSB",-14.2493177310587,0.789200614348683,137,-18.0553809411546,4.79660536682768e-38,"*"
"2","CPSB","CMSB",-49.317550783436,0.789200614348683,137,-62.4905124080994,1.42299981197353e-102,"*"
"3","CPSB","CMSB",-65.9901278999142,0.789200614348683,137,-83.6164172963487,1.86667468852344e-119,"*"
"4","CPSB","CMSB",-48.8345628670108,0.789200614348683,137,-61.8785160314572,5.23452170697267e-102,"*"
"6","CPSB","CMSB",-13.3166415519324,0.789200614348683,137,-16.873582343727,2.93736517361579e-35,"*"
"8","CPSB","CMSB",-1.80964102144897,0.789200614348683,137,-2.29300508457212,0.0233705488358451,"*"
"12","CPSB","CMSB",8.86857473339237,0.789200614348683,137,11.2374148881162,3.59579124466255e-21,"*"
"16","CPSB","CMSB",11.4664185610865,0.789200614348683,137,14.5291556451075,1.57883118389168e-29,"*"
"0","CPSB","CVSB",1.50582865044872e-15,0.789200614348683,137,1.90804292732521e-15,0.999999999999998,"NS"
"1","CPSB","CVSB",31.0115610562768,0.789200614348683,137,39.2949023257797,1.8338295560948e-76,"*"
"2","CPSB","CVSB",23.4603733601832,0.789200614348683,137,29.7267550653705,1.31832770631562e-61,"*"
"3","CPSB","CVSB",12.2755755695179,0.789200614348683,137,15.5544424907079,4.58876793833096e-32,"*"
"4","CPSB","CVSB",3.95533988547141,0.789200614348683,137,5.011830722833,1.63644124338824e-06,"*"
"6","CPSB","CVSB",-2.5671734101113,0.789200614348682,137,-3.25287811924723,0.00143864586207524,"*"
"8","CPSB","CVSB",0.925840848888041,0.789200614348683,137,1.17313751669102,0.242776292910432,"*"
"12","CPSB","CVSB",1.03505909903969,0.789200614348683,137,1.31152850139873,0.191872970995263,"*"
"16","CPSB","CVSB",1.30420466718273,0.789200614348683,137,1.65256418136353,0.100709577908891,"*"
"0","CPSB","MBSB",7.21952455241971e-14,0.789200614348683,137,9.14789525142208e-14,0.999999999999927,"NS"
"1","CPSB","MBSB",0.885029460592996,0.789200614348683,137,1.12142520482374,0.264068687029867,"*"
"2","CPSB","MBSB",-18.6286736116614,0.789200614348683,137,-23.6044844276197,4.0238131835763e-50,"*"
"3","CPSB","MBSB",-23.9476498411547,0.789200614348683,137,-30.3441855033507,1.14028554675715e-62,"*"
"4","CPSB","MBSB",-24.6556456746006,0.789200614348682,137,-31.241290524018,3.47395913394156e-64,"*"
"6","CPSB","MBSB",-16.0412872223836,0.789200614348682,137,-20.3259943425441,3.44001663863516e-43,"*"
